strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
split,linear_multi,0.934,0.0095495985365753,0.9899805476488608,2298.3170979554466,4.000204563140869,0.0,500,normal,"(200, 1000)",999,50,adam,1,0.0100183079329647,3,relu
split,linear_multi,0.928,0.0119512719752787,0.9874613665283214,2284.451335831879,3.0473127365112305,0.2,500,normal,"(200, 1000)",999,50,adam,1,0.0125378593016637,3,relu
split,linear_multi,0.918,0.0124579295633654,0.986930295789211,2279.54520380731,3.159057140350342,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.0130693844453213,3,relu
split,linear_multi,0.96,0.021946601245492,0.9769727077544402,2244.78999222595,3.959238052368164,1.0,500,normal,"(200, 1000)",999,50,adam,1,0.023023775137481,3,relu
split_resid_norm,linear_multi,0.892,0.009791223039463474,0.9897281449088755,2297.147648142772,3.321573495864868,0.0,500,normal,"(200, 1000)",[[0.72 0.86 0.95 0.97 0.96]],50,adam,1,0.01027179174852121,3,relu
split_resid_norm,linear_multi,0.97,0.024652773219202295,0.9741324564284987,2226.888025115097,2.989969491958618,0.2,500,normal,"(200, 1000)",[[0.86 0.99 1.   1.   1.  ]],50,adam,1,0.025862770310770375,3,relu
split_resid_norm,linear_multi,0.932,0.01425220515310862,0.9850472653928931,2279.762949223265,2.6706650257110596,0.5,500,normal,"(200, 1000)",[[0.91 0.89 0.96 0.92 0.98]],50,adam,1,0.014951725918190766,3,relu
split_resid_norm,linear_multi,0.926,0.11109437906065689,0.8834523359341058,1875.1917903548563,3.789921522140503,1.0,500,normal,"(200, 1000)",[[0.64 0.99 1.   1.   1.  ]],50,adam,1,0.11654706685191327,3,relu
cv_plus,linear_multi,0.948,0.009956068535861267,0.9895529919447374,2297.9864301166913,76.68507766723633,0.0,500,normal,"(200, 1000)",[[0.95 0.97 0.95 0.98 0.89]],50,adam,1,0.010444728122542622,3,relu
cv_plus,linear_multi,0.954,0.009626439974036706,0.9898981925829802,2299.577678387682,71.84095644950867,0.2,500,normal,"(200, 1000)",[[1.   0.97 0.96 0.95 0.89]],50,adam,1,0.010098920869681598,3,relu
cv_plus,linear_multi,0.966,0.012042736983414981,0.987361885485232,2288.92193224369,70.5934271812439,0.5,500,normal,"(200, 1000)",[[1.   0.98 0.99 0.96 0.9 ]],50,adam,1,0.012633813557027456,3,relu
cv_plus,linear_multi,0.95,0.018462458398245587,0.9806289233746042,2255.8605693415793,94.59863209724426,1.0,500,normal,"(200, 1000)",[[1.   0.97 0.97 0.96 0.85]],50,adam,1,0.019368625050023056,3,relu
jackknife_plus_ab,linear_multi,0.904,0.00877115267121821,0.9907983294336009,2303.3322771116987,81.28356504440308,0.0,500,normal,"(200, 1000)",[[0.94 0.92 0.94 0.92 0.8 ]],50,adam,1,0.009201654713625634,3,relu
jackknife_plus_ab,linear_multi,0.898,0.008629711518029305,0.9909467246312273,2304.6195700282947,71.50536608695984,0.2,500,normal,"(200, 1000)",[[0.91 0.91 0.9  0.9  0.87]],50,adam,1,0.009053271404985701,3,relu
jackknife_plus_ab,linear_multi,0.896,0.009583276847954235,0.9899463449317386,2299.8988345439557,69.94348430633545,0.5,500,normal,"(200, 1000)",[[0.96 0.94 0.91 0.9  0.77]],50,adam,1,0.010053639229119705,3,relu
jackknife_plus_ab,linear_multi,0.91,0.016048050643468096,0.9831641873386953,2267.1628747007076,100.593820810318,1.0,500,normal,"(200, 1000)",[[0.97 0.95 0.91 0.93 0.79]],50,adam,1,0.016835714344881157,3,relu
