strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size
split,linear,0.743333333,0.027103912,0.997265131,19966.92489,10.06207728,0,100,normal,"(200, 1000, 1000, 1000)",999,1
split,linear,0.98,1.13356553,0.891421052,16747.78155,8.533937693,0.2,100,normal,"(200, 1000, 1000, 1000)",999,1
split,linear,1,3.600874516,0.67854612,10995.82906,8.313056946,0.5,100,normal,"(200, 1000, 1000, 1000)",999,1
split,linear,0.936666667,3.997627369,0.695532806,9918.471986,6.062062502,1,100,normal,"(200, 1000, 1000, 1000)",999,1
jackknife_plus,linear,1,0.333752312,0.966615103,18941.58892,25.6806531,0,100,normal,"(200, 1000, 1000, 1000)",[[1. 1. 1. 1. 1.]],1
jackknife_plus,linear,0.946666667,0.856679044,0.917945028,17505.39201,24.23526597,0.2,100,normal,"(200, 1000, 1000, 1000)",[[0.96666667 0.95       0.96666667 0.91666667 0.93333333]],1
jackknife_plus,linear,0.936666667,2.218053505,0.801995117,13439.31129,19.29246593,0.5,100,normal,"(200, 1000, 1000, 1000)",[[0.91666667 0.93333333 0.91666667 0.95       0.96666667]],1
jackknife_plus,linear,0.95,5.174514332,0.605898466,7001.046936,13.72171021,1,100,normal,"(200, 1000, 1000, 1000)",[[0.93333333 0.91666667 0.93333333 1.         0.96666667]],1
jackknife_plus_ab,linear,0.903333333,0.290956297,0.97090436,19079.49229,177.4973431,0,100,normal,"(200, 1000, 1000, 1000)",[[1.         1.         0.96666667 0.83333333 0.71666667]],1
jackknife_plus_ab,linear,0.89,0.700656569,0.932890813,17871.79952,196.0617106,0.2,100,normal,"(200, 1000, 1000, 1000)",[[0.88333333 0.93333333 0.9        0.85       0.88333333]],1
jackknife_plus_ab,linear,0.91,1.808128089,0.838589815,14661.11956,214.0112901,0.5,100,normal,"(200, 1000, 1000, 1000)",[[0.88333333 0.95       0.88333333 0.93333333 0.9       ]],1
jackknife_plus_ab,linear,0.84,2.994888189,0.771901323,12316.62497,199.9948962,1,100,normal,"(200, 1000, 1000, 1000)",[[0.8        0.88333333 0.75       0.88333333 0.88333333]],1
cqr,linear,0.903333333,2.035593241,0.796440667,13179.40624,0.046000719,0,100,normal,"(200, 1000, 1000, 1000)",[[0.83333333 0.93333333 0.88333333 0.91666667 0.95      ]],1
cqr,linear,0.853333333,1.859207361,0.821922777,14088.36084,0.042999029,0.2,100,normal,"(200, 1000, 1000, 1000)",[[0.61666667 0.93333333 0.91666667 0.9        0.9       ]],1
cqr,linear,0.88,2.53533645,0.773672299,12538.18788,0.041998625,0.5,100,normal,"(200, 1000, 1000, 1000)",[[0.75       0.86666667 0.91666667 0.88333333 0.98333333]],1
cqr,linear,0.903333333,3.94108746,0.699839911,10921.63392,0.049999952,1,100,normal,"(200, 1000, 1000, 1000)",[[0.78333333 0.83333333 0.95       0.96666667 0.98333333]],1
split,linear,0.966666667,1.422115081,0.85778468,15544.42287,1.081978321,0,100,normal,"(400, 2000)",999,1
split,linear,0.986666667,1.13824882,0.888660917,16656.92534,4.15648675,0.2,100,normal,"(400, 2000)",999,1
split,linear,0.84,1.394193238,0.869218918,15864.38737,2.151520491,0.5,100,normal,"(400, 2000)",999,1
split,linear,0.873333333,3.341018306,0.743889323,12747.94922,1.525480032,1,100,normal,"(400, 2000)",999,1
jackknife_plus,linear,0.906666667,0.239080504,0.976091906,19151.5737,10.33484173,0,100,normal,"(400, 2000)",[[1.         1.         1.         1.         0.53333333]],1
jackknife_plus,linear,0.95,1.032309798,0.899027267,16785.70622,12.26212835,0.2,100,normal,"(400, 2000)",[[0.98333333 0.95       0.96666667 0.95       0.9       ]],1
jackknife_plus,linear,0.976666667,2.137097132,0.799531562,13955.95602,8.72434473,0.5,100,normal,"(400, 2000)",[[0.96666667 0.98333333 0.93333333 1.         1.        ]],1
jackknife_plus,linear,0.966666667,4.677170183,0.641462523,9197.78552,5.280201197,1,100,normal,"(400, 2000)",[[0.93333333 0.91666667 1.         0.98333333 1.        ]],1
jackknife_plus_ab,linear,0.93,0.330238532,0.966975276,18833.35292,86.08828139,0,100,normal,"(400, 2000)",[[1.   1.   1.   1.   0.65]],1
jackknife_plus_ab,linear,0.963333333,0.863098857,0.915576408,17442.74863,89.68725824,0.2,100,normal,"(400, 2000)",[[0.98333333 0.91666667 0.96666667 0.96666667 0.98333333]],1
jackknife_plus_ab,linear,0.956666667,1.840518052,0.827353282,14776.07772,62.85549712,0.5,100,normal,"(400, 2000)",[[0.96666667 0.96666667 0.96666667 0.95       0.93333333]],1
jackknife_plus_ab,linear,0.91,3.462084782,0.734609268,11863.42766,96.42745662,1,100,normal,"(400, 2000)",[[0.88333333 0.95       0.9        0.9        0.91666667]],1
cqr,linear,0.903333333,2.035593241,0.796440667,13179.40624,0.047789335,0,100,normal,"(400, 2000)",[[0.83333333 0.93333333 0.88333333 0.91666667 0.95      ]],1
cqr,linear,0.936666667,2.219231339,0.782935363,13190.94727,0.042001009,0.2,100,normal,"(400, 2000)",[[0.83333333 0.9        0.95       1.         1.        ]],1
cqr,linear,0.91,2.614511129,0.754753854,12890.94267,0.044002056,0.5,100,normal,"(400, 2000)",[[0.85       0.86666667 0.9        0.96666667 0.96666667]],1
cqr,linear,0.876666667,3.824545966,0.706824019,11727.50952,0.046000719,1,100,normal,"(400, 2000)",[[0.8        0.86666667 0.86666667 0.9        0.95      ]],1
split,linear,0.71,1.150331904,0.884934863,15204.91713,9.428769827,0,100,normal,"(400, 2000, 2000, 2000)",999,1
split,linear,0.953333333,2.139773278,0.795571415,12737.64869,9.52871418,0.2,100,normal,"(400, 2000, 2000, 2000)",999,1
split,linear,0.93,2.589251908,0.765580597,11734.83565,9.531069994,0.5,100,normal,"(400, 2000, 2000, 2000)",999,1
split,linear,0.873333333,3.663412391,0.73630031,10241.01162,9.890387297,1,100,normal,"(400, 2000, 2000, 2000)",999,1
jackknife_plus,linear,0.906666667,1.611363089,0.838863654,13999.24057,29.27286959,0,100,normal,"(400, 2000, 2000, 2000)",999,1
jackknife_plus,linear,0.936666667,1.959416719,0.812803209,13130.41135,29.76093531,0.2,100,normal,"(400, 2000, 2000, 2000)",[[0.9        1.         1.         1.         0.78333333]],1
jackknife_plus,linear,0.953333333,2.426026016,0.780356772,12358.30163,35.93875933,0.5,100,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.98333333 0.98333333 0.91666667 0.95      ]],1
jackknife_plus,linear,0.89,3.767140984,0.728834186,10182.60208,41.98921013,1,100,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.9        0.88333333 0.88333333 0.9       ]],1
jackknife_plus_ab,linear,0.906666667,1.608317403,0.839168222,14005.30996,253.8777735,0,100,normal,"(400, 2000, 2000, 2000)",999,1
jackknife_plus_ab,linear,0.923333333,1.80035764,0.827999789,13595.40524,262.3069034,0.2,100,normal,"(400, 2000, 2000, 2000)",[[0.73333333 0.98333333 1.         0.96666667 0.93333333]],1
jackknife_plus_ab,linear,0.896666667,2.226120409,0.798457499,12688.59525,297.5457819,0.5,100,normal,"(400, 2000, 2000, 2000)",[[0.95       0.86666667 0.93333333 0.98333333 0.75      ]],1
jackknife_plus_ab,linear,0.866666667,3.41211187,0.754389069,11069.87142,321.177295,1,100,normal,"(400, 2000, 2000, 2000)",[[0.81666667 0.83333333 0.93333333 0.86666667 0.88333333]],1
cqr,linear,0.903333333,2.035593241,0.796440667,13179.40624,0.046000242,0,100,normal,"(400, 2000, 2000, 2000)",[[0.83333333 0.93333333 0.88333333 0.91666667 0.95      ]],1
cqr,linear,0.9,2.108815168,0.798531306,13399.08103,0.043816328,0.2,100,normal,"(400, 2000, 2000, 2000)",[[0.68333333 0.91666667 0.96666667 0.95       0.98333333]],1
cqr,linear,0.933333333,2.536152665,0.770387786,12870.79193,0.044001579,0.5,100,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.96666667 0.88333333 0.96666667 0.96666667]],1
cqr,linear,0.863333333,4.264723413,0.693016428,10099.78146,0.045002699,1,100,normal,"(400, 2000, 2000, 2000)",[[0.71666667 0.88333333 0.86666667 0.95       0.9       ]],1
split,linear,0.893333333,0.010403646,0.998959591,20037.16151,15.85171437,0,300,normal,"(200, 1000, 1000, 1000)",999,1
split,linear,0.926666667,0.757656245,0.926438385,17870.75452,13.43745637,0.2,300,normal,"(200, 1000, 1000, 1000)",999,1
split,linear,0.913333333,1.790701542,0.836871246,15175.6756,17.14552021,0.5,300,normal,"(200, 1000, 1000, 1000)",999,1
split,linear,0.946666667,4.055423832,0.716015761,10893.46545,8.917003393,1,300,normal,"(200, 1000, 1000, 1000)",999,1
jackknife_plus,linear,0.996666667,0.052804261,0.994710279,19922.48732,46.09838939,0,300,normal,"(200, 1000, 1000, 1000)",[[1.         1.         0.98333333 1.         1.        ]],1
jackknife_plus,linear,0.93,0.824794383,0.919919764,17921.39427,30.74038649,0.2,300,normal,"(200, 1000, 1000, 1000)",[[0.85       0.93333333 0.95       0.98333333 0.93333333]],1
jackknife_plus,linear,0.903333333,1.694993162,0.845590189,15447.80553,43.35654616,0.5,300,normal,"(200, 1000, 1000, 1000)",[[0.88333333 0.93333333 0.95       0.85       0.9       ]],1
jackknife_plus,linear,0.9,3.402760481,0.761720333,12251.99513,39.8904283,1,300,normal,"(200, 1000, 1000, 1000)",[[0.86666667 0.88333333 0.98333333 0.88333333 0.88333333]],1
jackknife_plus_ab,linear,0.98,0.043882494,0.995605379,19940.46419,409.3711085,0,300,normal,"(200, 1000, 1000, 1000)",[[1.         0.95       0.96666667 1.         0.98333333]],1
jackknife_plus_ab,linear,0.893333333,0.682365239,0.933749017,18126.47496,366.2818623,0.2,300,normal,"(200, 1000, 1000, 1000)",[[0.91666667 0.88333333 0.91666667 0.86666667 0.88333333]],1
jackknife_plus_ab,linear,0.883333333,1.601445916,0.85411189,15663.73715,411.9456415,0.5,300,normal,"(200, 1000, 1000, 1000)",[[0.86666667 0.93333333 0.81666667 0.9        0.9       ]],1
jackknife_plus_ab,linear,0.9,3.445758916,0.758709351,12106.03804,396.7190926,1,300,normal,"(200, 1000, 1000, 1000)",[[0.85       0.93333333 0.88333333 0.91666667 0.91666667]],1
cqr,linear,0.903333333,2.166464349,0.783353556,12073.12148,0.076999903,0,300,normal,"(200, 1000, 1000, 1000)",[[0.93333333 0.78333333 0.96666667 0.91666667 0.91666667]],1
cqr,linear,0.88,1.528945862,0.85155408,14525.64232,0.083829403,0.2,300,normal,"(200, 1000, 1000, 1000)",[[0.76666667 0.91666667 0.88333333 0.88333333 0.95      ]],1
cqr,linear,0.91,1.815914436,0.834574477,14858.04883,0.0735147,0.5,300,normal,"(200, 1000, 1000, 1000)",[[0.81666667 0.88333333 0.93333333 0.93333333 0.98333333]],1
cqr,linear,0.896666667,3.531494875,0.752705648,12059.54545,0.080000639,1,300,normal,"(200, 1000, 1000, 1000)",[[0.83333333 0.9        0.9        0.95       0.9       ]],1
split,linear,0.97,0.08046204,0.991948935,19780.94781,6.583992243,0,300,normal,"(400, 2000)",999,1
split,linear,0.88,0.633476481,0.939615625,18150.95052,5.889765263,0.2,300,normal,"(400, 2000)",999,1
split,linear,0.856666667,1.447519286,0.867738139,16343.37817,7.508020639,0.5,300,normal,"(400, 2000)",999,1
split,linear,0.92,3.380931628,0.746590069,12125.23625,5.014091492,1,300,normal,"(400, 2000)",999,1
jackknife_plus,linear,1,0.138351906,0.986154948,19569.94512,18.17630935,0,300,normal,"(400, 2000)",[[1. 1. 1. 1. 1.]],1
jackknife_plus,linear,0.94,0.757687969,0.927774477,17786.27617,16.07007527,0.2,300,normal,"(400, 2000)",[[0.95       0.98333333 0.93333333 0.91666667 0.91666667]],1
jackknife_plus,linear,0.916666667,1.75527561,0.839619756,15444.34284,18.69193888,0.5,300,normal,"(400, 2000)",[[0.96666667 0.9        0.88333333 0.91666667 0.91666667]],1
jackknife_plus,linear,0.926666667,3.618603555,0.72877572,11022.38782,15.47398424,1,300,normal,"(400, 2000)",[[0.9        0.96666667 0.95       0.96666667 0.85      ]],1
jackknife_plus_ab,linear,0.91,0.048597838,0.995140117,19906.68219,175.4491801,0,300,normal,"(400, 2000)",[[1.         0.91666667 0.81666667 0.83333333 0.98333333]],1
jackknife_plus_ab,linear,0.906666667,0.68198326,0.934992215,18030.38818,167.8693075,0.2,300,normal,"(400, 2000)",[[0.9        0.98333333 0.91666667 0.83333333 0.9       ]],1
jackknife_plus_ab,linear,0.893333333,1.585501551,0.855132253,16026.89425,180.4239628,0.5,300,normal,"(400, 2000)",[[0.93333333 0.88333333 0.9        0.9        0.85      ]],1
jackknife_plus_ab,linear,0.896666667,3.135819528,0.76496215,12240.63242,159.6114583,1,300,normal,"(400, 2000)",[[0.9        0.83333333 0.96666667 0.88333333 0.9       ]],1
cqr,linear,0.903333333,2.166464349,0.783353556,12073.12148,0.070316315,0,300,normal,"(400, 2000)",[[0.93333333 0.78333333 0.96666667 0.91666667 0.91666667]],1
cqr,linear,0.866666667,1.637884635,0.84387326,14120.31331,0.069000483,0.2,300,normal,"(400, 2000)",[[0.73333333 0.91666667 0.88333333 0.86666667 0.93333333]],1
cqr,linear,0.936666667,1.985654148,0.818569139,14877.78828,0.07000041,0.5,300,normal,"(400, 2000)",[[0.86666667 0.95       0.95       0.95       0.96666667]],1
