strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
jackknife_plus_ab,linear,0.896666667,0.680626045,0.931937385,17354.50632,2.800299168,0,1000,normal,"(200, 1000)",[[1.         1.         1.         0.98333333 0.5       ]],5,adam,0.1
jackknife_plus_ab,linear,0.893333333,0.88504998,0.915723267,17002.69885,2.911741495,0.2,1000,normal,"(200, 1000)",[[0.98333333 0.95       0.83333333 0.91666667 0.78333333]],5,adam,0.1
jackknife_plus_ab,linear,0.903333333,1.726162288,0.848830507,15021.10835,3.500842333,0.5,1000,normal,"(200, 1000)",[[0.88333333 0.9        0.93333333 0.9        0.9       ]],5,adam,0.1
jackknife_plus_ab,linear,0.923333333,3.461460461,0.72675422,11370.30585,2.579409361,1,1000,normal,"(200, 1000)",[[0.93333333 0.95       0.88333333 0.91666667 0.93333333]],5,adam,0.1
jackknife_plus_ab,linear,0.91,0.194616352,0.980538267,19338.51224,5.233284473,0,1000,normal,"(200, 1000)",[[1.   1.   1.   1.   0.55]],5,adam,0.3
jackknife_plus_ab,linear,0.89,0.647343875,0.937425815,18192.79902,6.601420879,0.2,1000,normal,"(200, 1000)",[[0.9        0.88333333 0.91666667 0.83333333 0.91666667]],5,adam,0.3
jackknife_plus_ab,linear,0.89,1.693042619,0.843669844,15341.3709,4.665658474,0.5,1000,normal,"(200, 1000)",[[0.85       0.83333333 0.91666667 0.9        0.95      ]],5,adam,0.3
jackknife_plus_ab,linear,0.913333333,3.373678366,0.756584029,11864.16752,5.432849407,1,1000,normal,"(200, 1000)",[[0.96666667 0.83333333 0.86666667 0.98333333 0.91666667]],5,adam,0.3
jackknife_plus_ab,linear,0.926666667,0.024569644,0.997542326,19986.17815,7.948108912,0,1000,normal,"(200, 1000)",[[0.96666667 0.91666667 0.91666667 0.86666667 0.96666667]],5,adam,0.5
jackknife_plus_ab,linear,0.89,0.67282355,0.936194812,18076.49062,8.321389437,0.2,1000,normal,"(200, 1000)",[[0.93333333 0.9        0.88333333 0.9        0.83333333]],5,adam,0.5
jackknife_plus_ab,linear,0.916666667,1.741725793,0.845028143,15382.16995,8.334680319,0.5,1000,normal,"(200, 1000)",[[0.95       0.91666667 0.95       0.9        0.86666667]],5,adam,0.5
jackknife_plus_ab,linear,0.923333333,3.462288349,0.757673647,11731.57626,7.389327049,1,1000,normal,"(200, 1000)",[[0.95       0.96666667 0.86666667 0.91666667 0.91666667]],5,adam,0.5
jackknife_plus_ab,linear,0.9,0.488258668,0.951174133,18114.65581,4.350155354,0,1000,normal,"(200, 1000)",[[1.         1.         1.         0.91666667 0.58333333]],10,adam,0.1
jackknife_plus_ab,linear,0.893333333,0.782846139,0.926528042,17359.72113,4.323785067,0.2,1000,normal,"(200, 1000)",[[0.96666667 0.93333333 0.95       0.78333333 0.83333333]],10,adam,0.1
jackknife_plus_ab,linear,0.913333333,1.726506466,0.847544691,15056.55303,4.131245136,0.5,1000,normal,"(200, 1000)",[[0.91666667 0.91666667 0.91666667 0.9        0.91666667]],10,adam,0.1
jackknife_plus_ab,linear,0.886666667,3.205773914,0.749939006,11705.85235,3.752646208,1,1000,normal,"(200, 1000)",[[0.93333333 0.91666667 0.83333333 0.83333333 0.91666667]],10,adam,0.1
jackknife_plus_ab,linear,0.903333333,0.239017553,0.976098234,19131.07768,7.914976835,0,1000,normal,"(200, 1000)",[[1.         1.         1.         0.86666667 0.65      ]],10,adam,0.3
jackknife_plus_ab,linear,0.916666667,0.660890405,0.935896649,18049.00526,12.3359921,0.2,1000,normal,"(200, 1000)",[[0.91666667 0.9        0.95       0.95       0.86666667]],10,adam,0.3
