strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
jackknife_plus_ab,linear,0.8966666666666666,1.559634938234708,0.8440364967983457,14125.034999756306,73.98068881034851,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.6        0.98333333 0.98333333 1.         0.91666667]],5,adam,0.1
jackknife_plus_ab,linear,0.88,1.7962781222643442,0.8289535324078394,13601.694415654316,80.95654463768005,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.96666667 0.9        0.81666667 0.83333333]],5,adam,0.1
jackknife_plus_ab,linear,0.9166666666666666,2.2156972522827747,0.8059590351335233,12868.823154882006,89.31956386566162,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.96666667 0.93333333 0.93333333 0.88333333]],5,adam,0.1
jackknife_plus_ab,linear,0.91,3.7479369066704447,0.7041402853238028,9707.111733087291,70.24932479858398,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.88333333 0.9        0.95       0.86666667]],5,adam,0.1
jackknife_plus_ab,linear,0.9766666666666668,0.2408498093178057,0.9759092828734656,19160.80978441031,203.67264103889465,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         0.96666667 0.91666667]],5,adam,0.3
jackknife_plus_ab,linear,0.89,0.6557722457880543,0.9366111047025776,18189.122693486603,226.67956590652463,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.91666667 0.86666667 0.86666667 0.91666667]],5,adam,0.3
jackknife_plus_ab,linear,0.9033333333333332,1.725844776507724,0.8406410741246391,15492.613765196023,210.60505485534668,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.93333333 0.88333333 0.85       0.91666667]],5,adam,0.3
jackknife_plus_ab,linear,0.9166666666666666,3.365095445891708,0.7572032237059768,12031.039833494931,166.89015007019043,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.86666667 0.86666667 0.98333333 0.95      ]],5,adam,0.3
jackknife_plus_ab,linear,0.94,0.016398394614013,0.9983585631636196,20013.00032814768,237.7920479774475,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.  1.  1.  1.  0.7]],5,adam,0.5
jackknife_plus_ab,linear,0.8766666666666667,0.6562745356729456,0.9377637681028792,18139.418981654027,273.7473292350769,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.9        0.9        0.85       0.86666667]],5,adam,0.5
jackknife_plus_ab,linear,0.92,1.7497912541897616,0.8443104078272629,15330.77900503497,288.7689480781555,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.91666667 0.9        0.88333333 0.98333333]],5,adam,0.5
jackknife_plus_ab,linear,0.9166666666666666,3.4583627155277985,0.7579486044700281,11825.62954694264,230.54640221595764,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.9        0.93333333 0.88333333 0.91666667]],5,adam,0.5
jackknife_plus_ab,linear,0.9,1.4025519049066562,0.8597448095093344,15021.731098304625,78.23724484443665,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.73333333 0.85       1.         1.        ]],5,sgd,0.1
jackknife_plus_ab,linear,0.8866666666666667,1.815114920596884,0.8296471278368441,13453.080554404502,72.1920006275177,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.76666667 1.         1.         0.93333333 0.73333333]],5,sgd,0.1
jackknife_plus_ab,linear,0.9,1.89488661183098,0.8326764226347783,14198.903265459116,91.86132407188416,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.9        0.96666667 0.95       0.81666667]],5,sgd,0.1
jackknife_plus_ab,linear,0.91,3.3370013601626694,0.7397028945881984,11054.42673294667,78.04167366027832,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.88333333 0.95       0.91666667 0.91666667]],5,sgd,0.1
jackknife_plus_ab,linear,0.95,0.2197918752611232,0.9780183674249128,19234.28734671708,194.51191973686213,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.   1.   1.   1.   0.75]],5,sgd,0.3
jackknife_plus_ab,linear,0.93,0.720820048123901,0.9281943513492223,17948.70794573114,191.6782584190369,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.9        0.95       0.93333333 0.91666667]],5,sgd,0.3
jackknife_plus_ab,linear,0.9233333333333332,1.6921632769608856,0.8466615024969854,15717.54907644529,216.18188190460205,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.95       0.93333333 0.96666667 0.9       ]],5,sgd,0.3
jackknife_plus_ab,linear,0.8866666666666667,3.3526148785525143,0.7570631861150315,12195.97004287663,231.35725808143616,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.76666667 0.9        0.9        0.91666667 0.95      ]],5,sgd,0.3
jackknife_plus_ab,linear,0.96,0.0104218898560668,0.9989542147727468,20035.21503942349,247.5466389656067,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.   1.   1.   0.95 0.85]],5,sgd,0.5
jackknife_plus_ab,linear,0.8733333333333333,0.6289406431037567,0.9393688940760914,18289.41159485605,241.7199437618256,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.93333333 0.9        0.85       0.76666667]],5,sgd,0.5
jackknife_plus_ab,linear,0.9366666666666666,1.7109021808074234,0.8472794974949864,15374.565652357374,226.20149946212769,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.93333333 0.93333333 0.95       0.9       ]],5,sgd,0.5
jackknife_plus_ab,linear,0.89,3.3773418818811,0.7425857718453253,11897.332707297726,300.3895914554596,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.91666667 0.85       0.9        0.86666667]],5,sgd,0.5
jackknife_plus_ab,linear,0.8966666666666666,1.5649736685186424,0.8435026237758843,14107.940934643746,72.71328353881836,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.96666667 1.         0.88333333 0.73333333 0.9       ]],5,lbfgs,0.1
jackknife_plus_ab,linear,0.9166666666666666,1.9140553334568624,0.8147606978927021,13208.076662634949,74.33143520355225,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.81666667 0.98333333 1.         0.85      ]],5,lbfgs,0.1
jackknife_plus_ab,linear,0.8966666666666666,1.9150087362218176,0.8342751322668971,14438.407275010712,105.09787511825562,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.8        0.86666667 0.93333333 0.96666667 0.91666667]],5,lbfgs,0.1
jackknife_plus_ab,linear,0.8933333333333333,3.506468418104172,0.7483139292774622,10538.913101456765,87.41607141494751,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.8        0.9        0.95       0.85      ]],5,lbfgs,0.1
jackknife_plus_ab,linear,0.98,0.4751946291398936,0.95247444123008,18252.55045706526,175.812992811203,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.  1.  1.  1.  0.9]],5,lbfgs,0.3
jackknife_plus_ab,linear,0.9066666666666666,0.6994828916247402,0.9329655085398998,18045.669669789026,209.3560848236084,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.9        0.93333333 0.88333333 0.86666667]],5,lbfgs,0.3
jackknife_plus_ab,linear,0.9066666666666666,1.610723231229294,0.8620588549399937,15740.1159418997,213.11022090911865,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.91666667 0.9        0.86666667 0.93333333]],5,lbfgs,0.3
jackknife_plus_ab,linear,0.9266666666666666,3.3013890524207463,0.7504612336806747,11733.867431186838,176.9003541469574,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        0.95       0.9        1.         0.88333333]],5,lbfgs,0.3
jackknife_plus_ab,linear,0.9466666666666668,0.0218831706759742,0.9978095099226592,19992.25420529501,244.0772705078125,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.73333333]],5,lbfgs,0.5
jackknife_plus_ab,linear,0.89,0.6714008534389272,0.9342061041657208,18120.23251479009,267.40331840515137,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.88333333 0.93333333 0.86666667 0.88333333]],5,lbfgs,0.5
jackknife_plus_ab,linear,0.9233333333333332,1.665443493936008,0.8513112438864987,15491.386620754203,306.2295265197754,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.93333333 0.91666667 0.93333333 0.9       ]],5,lbfgs,0.5
jackknife_plus_ab,linear,0.9,3.343225448343563,0.7588945121420121,12103.074140930252,275.759893655777,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.88333333 0.83333333 0.91666667 0.98333333]],5,lbfgs,0.5
jackknife_plus_ab,linear,0.8966666666666666,1.4087322389482642,0.8591267665593204,14645.768954145427,102.10058498382568,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         0.98333333 1.         0.98333333 0.51666667]],10,adam,0.1
jackknife_plus_ab,linear,0.9133333333333332,1.8596568853959048,0.826932314025547,13431.685862549692,101.93822360038756,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.86666667 0.98333333 0.95       0.91666667]],10,adam,0.1
jackknife_plus_ab,linear,0.9066666666666666,2.1863813643939385,0.8155550456438082,12804.848583391067,111.1509301662445,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.9        0.96666667 0.91666667 0.88333333 0.86666667]],10,adam,0.1
jackknife_plus_ab,linear,0.9066666666666666,3.4597005182729723,0.7327174500903992,10629.679813486511,150.14915561676025,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.88333333 0.95       0.93333333 0.85      ]],10,adam,0.1
jackknife_plus_ab,linear,0.9633333333333334,0.0909633869104994,0.9908996866922356,19761.83088687395,354.8122112751007,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.81666667]],10,adam,0.3
jackknife_plus_ab,linear,0.92,0.675918727135032,0.9359935907282586,18037.201145545423,349.68775057792664,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.88333333 0.93333333 0.93333333 0.91666667]],10,adam,0.3
jackknife_plus_ab,linear,0.91,1.6739637414645492,0.8474280283433625,15524.55598977234,332.6799395084381,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.93333333 0.93333333 0.9        0.85      ]],10,adam,0.3
jackknife_plus_ab,linear,0.8833333333333333,3.211810253871463,0.7541970027422521,11989.863831035407,319.411669254303,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.9        0.86666667 0.83333333 0.95      ]],10,adam,0.3
jackknife_plus_ab,linear,0.9366666666666666,0.0110431219591802,0.9988943448452268,20031.847639513548,441.2875516414642,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.68333333]],10,adam,0.5
jackknife_plus_ab,linear,0.88,0.6499030989053061,0.936924595013154,18280.158421554668,438.0564873218536,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.83333333 0.85       0.9        0.9       ]],10,adam,0.5
jackknife_plus_ab,linear,0.8866666666666667,1.653125435936172,0.8570329303520745,15661.600272306076,485.7243902683258,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.9        0.88333333 0.88333333 0.88333333]],10,adam,0.5
jackknife_plus_ab,linear,0.93,3.320278480833855,0.7684373968455914,12073.287247750544,390.6762368679047,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.91666667 0.95       0.91666667 0.93333333]],10,adam,0.5
jackknife_plus_ab,linear,0.9,1.4557960777323722,0.8544203922267628,14503.088119694989,99.67077946662904,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.  1.  1.  1.  0.5]],10,sgd,0.1
jackknife_plus_ab,linear,0.9033333333333332,1.8355774993892613,0.8206968566621909,13455.67215151286,98.2889187335968,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.98333333 0.8        0.86666667 0.91666667]],10,sgd,0.1
jackknife_plus_ab,linear,0.9266666666666666,2.277447223851385,0.7986622602528574,12548.773688914876,102.96108388900755,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.98333333 0.93333333 0.95       0.86666667 0.9       ]],10,sgd,0.1
jackknife_plus_ab,linear,0.8766666666666667,3.428634311077831,0.7407113367290576,10826.464204714322,94.66394424438477,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.83333333 0.81666667 0.88333333 0.96666667]],10,sgd,0.1
jackknife_plus_ab,linear,0.9666666666666668,0.2609618585655772,0.9738994856916648,19091.64437851379,305.0954465866089,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         1.         0.83333333]],10,sgd,0.3
jackknife_plus_ab,linear,0.88,0.6239142230772732,0.9393607235291468,18219.73668871057,385.0699071884155,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.86666667 0.88333333 0.83333333 0.88333333]],10,sgd,0.3
jackknife_plus_ab,linear,0.9066666666666666,1.6692058451600376,0.8511907700525683,15394.84801365636,350.9952278137207,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.96666667 0.88333333 0.85       0.9        0.93333333]],10,sgd,0.3
jackknife_plus_ab,linear,0.9066666666666666,3.327423255333492,0.735197664999964,11691.78487297365,300.2771899700165,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.85       0.95       0.93333333 0.91666667 0.88333333]],10,sgd,0.3
jackknife_plus_ab,linear,0.9366666666666666,0.0139490623135462,0.9986037512004772,20025.07686926022,408.0851500034332,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.98333333 1.         0.95       0.81666667 0.93333333]],10,sgd,0.5
jackknife_plus_ab,linear,0.9133333333333332,0.6697331637018057,0.9374470919878,18146.80647135585,471.5356991291046,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.95       0.91666667 0.93333333 0.9       ]],10,sgd,0.5
jackknife_plus_ab,linear,0.8966666666666666,1.6176683460840586,0.8617360517822266,15775.719617116883,422.884703874588,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.86666667 0.9        0.86666667 0.9       ]],10,sgd,0.5
jackknife_plus_ab,linear,0.9066666666666666,3.193117306019712,0.7497322309339263,12400.375079376612,441.1534192562103,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.98333333 0.88333333 0.9        0.85      ]],10,sgd,0.5
jackknife_plus_ab,linear,0.8966666666666666,1.5698864471347005,0.843011345919737,14091.58335952521,93.80960154533386,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.58333333 0.93333333 1.         1.         0.96666667]],10,lbfgs,0.1
jackknife_plus_ab,linear,0.9,1.799375776503262,0.825025993354165,13496.669938361809,103.98505687713624,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.9        0.93333333 0.91666667 0.81666667]],10,lbfgs,0.1
jackknife_plus_ab,linear,0.9166666666666666,2.3847569320379534,0.8032691161674353,12377.412709723912,106.80488204956056,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.81666667 0.93333333 0.96666667 0.95       0.91666667]],10,lbfgs,0.1
jackknife_plus_ab,linear,0.8633333333333333,3.5986808935690777,0.7442960945387623,11090.077965134762,111.90479612350464,1.0,1000,normal,"(400, 2000, 2000, 2000)",[[0.81666667 0.88333333 0.88333333 0.93333333 0.8       ]],10,lbfgs,0.1
jackknife_plus_ab,linear,0.95,0.1201672683575676,0.9879808032091478,19622.686821906183,340.9377706050873,0.0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         0.96666667 1.         0.78333333]],10,lbfgs,0.3
jackknife_plus_ab,linear,0.8966666666666666,0.6815997124518136,0.9335982323278306,17932.687483274203,356.1984601020813,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.93333333 0.81666667 0.88333333 0.91666667]],10,lbfgs,0.3
jackknife_plus_ab,linear,0.9,1.678713041262046,0.8480774590651865,15387.77558657821,344.7801761627197,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.9        0.91666667 0.83333333 0.91666667]],10,lbfgs,0.3
