strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc
split,sinex_het,0.8633333333333333,5.234601456864454,0.6731239490325043,5846.665554297699,2.3665945529937744,0.5,300,laplace,"(200, 1000)",999
split,sinex_het,0.9666666666666668,9.120810106700883,0.5243434914624204,2657.8511792957547,3.9755377769470215,1.0,300,laplace,"(200, 1000)",999
split,sinex_het,0.95,12.245845180035504,0.4786433203646998,928.1799459528738,2.1831130981445312,1.5,300,laplace,"(200, 1000)",999
split,sinex_het,0.95,13.96215437430094,0.4619758704545886,1652.365843429778,1.9840571880340576,2.0,300,laplace,"(200, 1000)",999
split_resid_norm,sinex_het,0.97,11.081435344852398,0.3080172910029145,1956.8221396400368,3.9371895790100098,0.5,300,laplace,"(200, 1000)",[[0.86666667 0.98333333 1.         1.         1.        ]]
split_resid_norm,sinex_het,0.9533333333333334,8.051878062484175,0.5800894386622414,3755.547963414976,4.518385648727417,1.0,300,laplace,"(200, 1000)",[[0.9        0.95       0.98333333 0.98333333 0.95      ]]
split_resid_norm,sinex_het,0.96,11.643557972440698,0.5042845199285578,1480.7805125269049,3.2063024044036865,1.5,300,laplace,"(200, 1000)",[[0.95       0.96666667 0.98333333 0.96666667 0.93333333]]
split_resid_norm,sinex_het,0.95,45.71489746485686,-0.761593366944871,1089.3663328045302,2.715611934661865,2.0,300,laplace,"(200, 1000)",[[0.76666667 0.98333333 1.         1.         1.        ]]
jackknife_plus,sinex_het,0.8766666666666667,6.300786520406785,0.6065465041983326,3842.252246157429,6.541118144989014,0.5,300,laplace,"(200, 1000)",[[0.93333333 0.86666667 0.9        0.86666667 0.81666667]]
jackknife_plus,sinex_het,0.9566666666666668,8.413976929058858,0.5612056746442811,2279.4415603242974,6.732462167739868,1.0,300,laplace,"(200, 1000)",[[0.98333333 0.96666667 0.96666667 0.95       0.91666667]]
jackknife_plus,sinex_het,0.9033333333333332,8.966769336565795,0.6182481181138143,2228.4811728641857,6.040752172470093,1.5,300,laplace,"(200, 1000)",[[0.86666667 0.88333333 0.9        0.95       0.91666667]]
jackknife_plus,sinex_het,0.9166666666666666,12.589717214674812,0.5148628986250099,1845.8258383956904,6.3748204708099365,2.0,300,laplace,"(200, 1000)",[[0.93333333 0.93333333 0.96666667 0.88333333 0.86666667]]
jackknife_plus_ab,sinex_het,0.89,5.489447237615558,0.6572109212123659,5707.0427319733935,84.94681119918823,0.5,300,laplace,"(200, 1000)",[[0.71666667 0.93333333 0.95       0.91666667 0.93333333]]
jackknife_plus_ab,sinex_het,0.9333333333333332,7.247837726381483,0.6220214476291094,4117.440111676592,82.09725141525269,1.0,300,laplace,"(200, 1000)",[[0.93333333 0.93333333 0.93333333 0.95       0.91666667]]
jackknife_plus_ab,sinex_het,0.89,7.745268614689535,0.67025231650506,3640.6116044656255,64.79268336296082,1.5,300,laplace,"(200, 1000)",[[0.83333333 0.93333333 0.83333333 0.93333333 0.91666667]]
jackknife_plus_ab,sinex_het,0.91,11.49340151336894,0.5571088327335715,2576.272249336396,63.76672077178955,2.0,300,laplace,"(200, 1000)",[[0.9        0.93333333 0.83333333 0.93333333 0.95      ]]
cqr,sinex_het,0.91,5.361770333887077,0.665183715839838,5585.277896506448,0.5248589515686035,0.5,300,laplace,"(200, 1000)",[[0.91666667 0.93333333 0.86666667 0.88333333 0.95      ]]
cqr,sinex_het,0.9233333333333332,7.912810933341551,0.5873431796434165,3708.213855890322,0.0587882995605468,1.0,300,laplace,"(200, 1000)",[[0.86666667 0.88333333 0.93333333 0.98333333 0.95      ]]
