strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features
split,linear_multi,0.986666667,0.008513715,0.976899132,536.9440895,2.547932625,0,300,normal,"(200, 1000)",999,50,adam,1,0.02309353,3
split,linear_multi,0.88,0.006440934,0.982528513,542.0625883,3.659390688,0.2,300,normal,"(200, 1000)",999,50,adam,1,0.017471094,3
split,linear_multi,0.933333333,0.012586002,0.96585928,523.3524883,4.899874687,0.5,300,normal,"(200, 1000)",999,50,adam,1,0.034139646,3
split,linear_multi,0.886666667,0.010496959,0.971526728,531.2221833,6.591479063,1,300,normal,"(200, 1000)",999,50,adam,1,0.028473099,3
split_resid_norm,linear_multi,0.943333333,0.008237019,0.977655175,537.1890522,2.716250658,0,300,normal,"(200, 1000)",[[0.76666667 0.96666667 0.98333333 1.         1.        ]],50,adam,1,0.022342989,3
split_resid_norm,linear_multi,0.986666667,0.021767384,0.940948701,499.6757101,3.296089888,0.2,300,normal,"(200, 1000)",[[0.96666667 0.98333333 0.98333333 1.         1.        ]],50,adam,1,0.059044232,3
split_resid_norm,linear_multi,0.94,0.022700733,0.93842255,498.0173734,4.602926016,0.5,300,normal,"(200, 1000)",[[0.78333333 0.93333333 0.98333333 1.         1.        ]],50,adam,1,0.061575949,3
split_resid_norm,linear_multi,0.946666667,0.029579085,0.919764455,479.6715318,6.613944769,1,300,normal,"(200, 1000)",[[0.73333333 1.         1.         1.         1.        ]],50,adam,1,0.080233542,3
jackknife_plus_ab,linear_multi,0.903333333,0.006007989,0.983703264,543.8766037,69.0682056,0,300,normal,"(200, 1000)",[[0.88333333 0.93333333 0.9        0.91666667 0.88333333]],50,adam,1,0.016296726,3
jackknife_plus_ab,linear_multi,0.91,0.007481119,0.979707297,539.9139353,81.93999553,0.2,300,normal,"(200, 1000)",[[0.96666667 0.96666667 0.91666667 0.91666667 0.78333333]],50,adam,1,0.020292605,3
jackknife_plus_ab,linear_multi,0.906666667,0.010077668,0.972664189,532.0566677,131.0646696,0.5,300,normal,"(200, 1000)",[[0.98333333 0.95       0.93333333 0.88333333 0.78333333]],50,adam,1,0.027335767,3
