datset,strategy,data_name,coverage,mean_width,cwc,mwi,total_time,layer_size,ssc,cv_size,dataset
,split,real_datasets\yacht_hydro.csv,0.935483871,40.67176983,0.262390496,55.85832584,0.785987377,"(200, 1000)",999,50,yacht_hydro
,split_resid_norm,real_datasets\yacht_hydro.csv,0.967741935,4.25E+169,-7.72E+167,4.25E+169,0.60499692,"(200, 1000)",[[0.84615385 1.         1.         1.         1.        ]],50,yacht_hydro
,jackknife_plus_ab,real_datasets\yacht_hydro.csv,0.951612903,41.33533089,0.250356045,54.60113221,97.08648086,"(200, 1000)",[[0.92307692 0.92307692 1.         1.         0.91666667]],50,yacht_hydro
,split,real_datasets\boston.csv,0.892156863,17.94383991,0.601247965,27.7027763,5.847033501,"(200, 1000)",999,50,boston
,split_resid_norm,real_datasets\boston.csv,0.87254902,51.71001985,-0.14911144,67.67180269,5.332770586,"(200, 1000)",[[0.47619048 0.95238095 0.95       1.         1.        ]],50,boston
,jackknife_plus_ab,real_datasets\boston.csv,0.911764706,15.44740049,0.656724343,22.90465906,175.2743826,"(200, 1000)",[[1.   1.   0.85 0.9  0.8 ]],50,boston
,split,real_datasets\hour.csv,0.897295742,2.152858079,0.997794195,2.979012032,27.19192195,"(200, 1000)",999,50,hour
,split_resid_norm,real_datasets\hour.csv,0.903912543,3.05615474,0.996868679,3.703478654,24.85495353,"(200, 1000)",[[0.81321839 0.84460432 0.92230216 0.96402878 0.97553957]],50,hour
,jackknife_plus_ab,real_datasets\hour.csv,0.913981588,1.66833459,0.998290446,2.086511398,700.077662,"(200, 1000)",[[0.9683908  0.9352518  0.95251799 0.89640288 0.81726619]],50,hour
,split,real_datasets\yacht_hydro.csv,0.951612903,62.00689782,-0.124535356,65.47469596,5.10989666,"(200, 1000, 1000, 1000)",999,50,yacht_hydro
,split_resid_norm,real_datasets\yacht_hydro.csv,0.838709677,1.47E+52,-2.66E+50,1.47E+52,24.05692172,"(200, 1000, 1000, 1000)",[[0.23076923 1.         1.         1.         1.        ]],50,yacht_hydro
,jackknife_plus_ab,real_datasets\yacht_hydro.csv,0.951612903,34.39389988,0.376243106,46.94585223,569.8584137,"(200, 1000, 1000, 1000)",[[0.76923077 1.         1.         1.         1.        ]],50,yacht_hydro
,split,real_datasets\boston.csv,0.931372549,20.36809524,0.547375123,25.93893544,41.33197737,"(200, 1000, 1000, 1000)",999,50,boston
,split_resid_norm,real_datasets\boston.csv,0.921568627,42573.20933,-945.0708787,42577.94123,46.53499484,"(200, 1000, 1000, 1000)",[[0.61904762 1.         1.         1.         1.        ]],50,boston
,jackknife_plus_ab,real_datasets\boston.csv,0.911764706,15.65999661,0.651999985,24.12905643,949.349261,"(200, 1000, 1000, 1000)",[[1.         0.95238095 0.9        0.95       0.75      ]],50,boston
,split,real_datasets\yacht_hydro.csv,0.935483871,55.75201928,-0.011099356,72.488921,77.04274893,"(400, 2000, 2000, 2000)",999,50,yacht_hydro
,split_resid_norm,real_datasets\yacht_hydro.csv,0.967741935,1.81E+119,-3.28E+117,1.81E+119,78.54121494,"(400, 2000, 2000, 2000)",[[0.84615385 1.         1.         1.         1.        ]],50,yacht_hydro
,jackknife_plus_ab,real_datasets\yacht_hydro.csv,0.951612903,35.04984228,0.364347193,48.64446575,1853.078372,"(400, 2000, 2000, 2000)",[[0.76923077 1.         1.         1.         1.        ]],50,yacht_hydro
,split,real_datasets\boston.csv,0.931372549,18.53013266,0.588218695,24.97529914,136.5873659,"(400, 2000, 2000, 2000)",999,50,boston
,split_resid_norm,real_datasets\boston.csv,0.911764706,38962564.35,-865833.6435,38962572.04,152.0484219,"(400, 2000, 2000, 2000)",[[0.57142857 1.         1.         1.         1.        ]],50,boston
