datset,strategy,data_name,coverage,mean_width,cwc,mwi,total_time,layer_size,ssc,cv_size,optimiser,bagging_fraction,dataset,normalised_mean_width
,split,real_datasets\concrete.csv,0.95631068,26.07390573,0.631045038,27.72524773,17.62975192,"(200, 1000)",999,50,adam,1,concrete,
,split_resid_norm,real_datasets\concrete.csv,0.902912621,82.41494903,-0.166194268,92.19282586,15.22660851,"(200, 1000)",[[0.57142857 0.95121951 1.         1.         1.        ]],50,adam,1,concrete,
,jackknife_plus_ab,real_datasets\concrete.csv,0.854368932,18.99031478,0.731280283,25.17188727,503.7962112,"(200, 1000)",[[0.78571429 0.85365854 0.90243902 0.92682927 0.80487805]],50,adam,1,concrete,
,split,real_datasets\concrete.csv,0.86407767,20.04270202,0.716389312,24.75176468,307.7690501,"(400, 2000, 2000, 2000)",999,50,adam,1,concrete,
,split_resid_norm,real_datasets\concrete.csv,0.922330097,73.93639178,-0.046220322,80.17464379,271.6485362,"(400, 2000, 2000, 2000)",[[0.61904762 1.         1.         1.         1.        ]],50,adam,1,concrete,
,jackknife_plus_ab,real_datasets\concrete.csv,0.86407767,19.72137962,0.720936106,24.44668028,8530.354629,"(400, 2000, 2000, 2000)",[[0.80952381 0.87804878 0.90243902 0.7804878  0.95121951]],50,adam,1,concrete,
,split,real_datasets\concrete.csv,0.95631068,26.07390573,0.631045038,27.72524773,18.09959316,"(200, 1000)",999,50,lbfgs,1,concrete,
,split_resid_norm,real_datasets\concrete.csv,0.902912621,82.41494903,-0.166194268,92.19282586,15.37143731,"(200, 1000)",[[0.57142857 0.95121951 1.         1.         1.        ]],50,lbfgs,1,concrete,
,jackknife_plus_ab,real_datasets\concrete.csv,0.854368932,18.99031478,0.731280283,25.17188727,493.7599649,"(200, 1000)",[[0.78571429 0.85365854 0.90243902 0.92682927 0.80487805]],50,lbfgs,1,concrete,
,split,real_datasets\concrete.csv,0.86407767,20.04270202,0.716389312,24.75176468,309.7144599,"(400, 2000, 2000, 2000)",999,50,lbfgs,1,concrete,
,split_resid_norm,real_datasets\concrete.csv,0.922330097,73.93639178,-0.046220322,80.17464379,273.3791921,"(400, 2000, 2000, 2000)",[[0.61904762 1.         1.         1.         1.        ]],50,lbfgs,1,concrete,
,jackknife_plus_ab,real_datasets\concrete.csv,0.86407767,19.72137962,0.720936106,24.44668028,8606.008265,"(400, 2000, 2000, 2000)",[[0.80952381 0.87804878 0.90243902 0.7804878  0.95121951]],50,lbfgs,1,concrete,
,split,real_datasets\concrete.csv,0.95631068,26.07390573,0.631045038,27.72524773,19.08851337,"(200, 1000)",999,50,sgd,1,concrete,
,split_resid_norm,real_datasets\concrete.csv,0.902912621,82.41494903,-0.166194268,92.19282586,14.9746995,"(200, 1000)",[[0.57142857 0.95121951 1.         1.         1.        ]],50,sgd,1,concrete,
,jackknife_plus_ab,real_datasets\concrete.csv,0.854368932,18.99031478,0.731280283,25.17188727,485.0778277,"(200, 1000)",[[0.78571429 0.85365854 0.90243902 0.92682927 0.80487805]],50,sgd,1,concrete,
,split,real_datasets\concrete.csv,0.966019417,26.1943364,0.629340169,29.03342919,260.6015232,"(400, 2000, 2000, 2000)",999,50,sgd,1,concrete,
,split_resid_norm,real_datasets\concrete.csv,0.902912621,42.22260276,0.402538517,51.79779013,270.8764989,"(400, 2000, 2000, 2000)",[[0.61904762 0.95121951 0.95121951 1.         1.        ]],50,sgd,1,concrete,
,jackknife_plus_ab,real_datasets\concrete.csv,0.844660194,19.29983722,0.726899752,24.71955281,8055.377781,"(400, 2000, 2000, 2000)",[[0.80952381 0.92682927 0.90243902 0.82926829 0.75609756]],50,sgd,1,concrete,
,split,real_datasets\yacht_hydro.csv,0.935483871,55.75201928,-0.011099356,72.488921,82.60993862,"(400, 2000, 2000, 2000)",999,50,adam,1,yacht_hydro,1
,split_resid_norm,real_datasets\yacht_hydro.csv,0.967741935,1.81E+119,-3.28E+117,1.81E+119,81.88132882,"(400, 2000, 2000, 2000)",[[0.84615385 1.         1.         1.         1.        ]],50,adam,1,yacht_hydro,0.016129032
,jackknife_minmax_ab,real_datasets\yacht_hydro.csv,0.951612903,42.64924705,0.226527379,49.20788858,1991.730234,"(400, 2000, 2000, 2000)",[[1.   1.   1.   1.   0.75]],50,adam,1,yacht_hydro,0.807825146
,split,real_datasets\boston.csv,0.931372549,18.53013266,0.588218695,24.97529914,146.3676801,"(400, 2000, 2000, 2000)",999,50,adam,1,boston,1
,split_resid_norm,real_datasets\boston.csv,0.911764706,38962564.35,-865833.6435,38962572.04,162.9225221,"(400, 2000, 2000, 2000)",[[0.57142857 1.         1.         1.         1.        ]],50,adam,1,boston,0.015313977
,jackknife_minmax_ab,real_datasets\boston.csv,0.960784314,18.10774957,0.597603357,22.8188285,3927.424224,"(400, 2000, 2000, 2000)",[[1.   1.   0.9  0.95 0.95]],50,adam,1,boston,0.79913493
,split,real_datasets\hour.csv,0.90132336,4.378279436,0.995514056,5.768137668,1063.020483,"(400, 2000, 2000, 2000)",999,50,adam,1,hour,1
,split_resid_norm,real_datasets\hour.csv,0.897871116,4.044648798,0.995855888,5.327635048,1005.823534,"(400, 2000, 2000, 2000)",[[0.82183908 0.88057554 0.89496403 0.91942446 0.97266187]],50,adam,1,hour,0.261043063
,jackknife_minmax_ab,real_datasets\hour.csv,0.991657077,4.242842162,0.995644461,4.363358442,28170.16501,"(400, 2000, 2000, 2000)",[[0.99856322 0.99568345 1.         0.98273381 0.98129496]],50,adam,1,hour,0.401286414
,split,real_datasets\concrete.csv,0.932038835,28.59431298,0.59538197,32.42676831,217.3292944,"(400, 2000, 2000, 2000)",999,50,adam,1,concrete,1
,split_resid_norm,real_datasets\concrete.csv,0.878640777,36.87787504,0.478167674,45.09427986,351.681504,"(400, 2000, 2000, 2000)",[[0.64285714 0.80487805 0.95121951 1.         1.        ]],50,adam,1,concrete,0.122834457
,jackknife_minmax_ab,real_datasets\concrete.csv,0.951456311,21.76979295,0.691949591,23.55555205,8930.562837,"(400, 2000, 2000, 2000)",[[1.         1.         0.95121951 0.90243902 0.90243902]],50,adam,1,concrete,0.821734236
,split,real_datasets\yacht_hydro.csv,0.935483871,55.75201928,-0.011099356,72.488921,81.39154196,"(400, 2000, 2000, 2000)",999,50,adam,1,yacht_hydro,1.01109937
,split_resid_norm,real_datasets\yacht_hydro.csv,0.967741935,1.81E+119,-3.28E+117,1.81E+119,85.5166595,"(400, 2000, 2000, 2000)",[[0.84615385 1.         1.         1.         1.        ]],50,adam,1,yacht_hydro,3.28E+117
,jackknife_minmax_ab,real_datasets\yacht_hydro.csv,0.951612903,42.64924705,0.226527379,49.20788858,2061.837166,"(400, 2000, 2000, 2000)",[[1.   1.   1.   1.   0.75]],50,adam,1,yacht_hydro,0.773472018
,split,real_datasets\boston.csv,0.931372549,18.53013266,0.588218695,24.97529914,148.096559,"(400, 2000, 2000, 2000)",999,50,adam,1,boston,0.411780726
,split_resid_norm,real_datasets\boston.csv,0.911764706,38962564.35,-865833.6435,38962572.04,162.3477545,"(400, 2000, 2000, 2000)",[[0.57142857 1.         1.         1.         1.        ]],50,adam,1,boston,865834.7633
,jackknife_minmax_ab,real_datasets\boston.csv,0.960784314,18.10774957,0.597603357,22.8188285,4022.382624,"(400, 2000, 2000, 2000)",[[1.   1.   0.9  0.95 0.95]],50,adam,1,boston,0.402394435
,split,real_datasets\hour.csv,0.90132336,4.378279436,0.995514056,5.768137668,1062.993977,"(400, 2000, 2000, 2000)",999,50,adam,1,hour,0.004485942
,split_resid_norm,real_datasets\hour.csv,0.897871116,4.044648798,0.995855888,5.327635048,1008.367877,"(400, 2000, 2000, 2000)",[[0.82183908 0.88057554 0.89496403 0.91942446 0.97266187]],50,adam,1,hour,0.004144107
,jackknife_minmax_ab,real_datasets\hour.csv,0.991657077,4.242842162,0.995644461,4.363358442,28975.68045,"(400, 2000, 2000, 2000)",[[0.99856322 0.99568345 1.         0.98273381 0.98129496]],50,adam,1,hour,0.004347174
,split,real_datasets\yacht_hydro.csv,0.935483871,40.67176983,0.262390496,55.85832584,0.785987377,"(200, 1000)",999,50,adam,1,yacht_hydro,
,split_resid_norm,real_datasets\yacht_hydro.csv,0.967741935,4.25E+169,-7.72E+167,4.25E+169,0.60499692,"(200, 1000)",[[0.84615385 1.         1.         1.         1.        ]],50,adam,1,yacht_hydro,
,jackknife_plus_ab,real_datasets\yacht_hydro.csv,0.951612903,41.33533089,0.250356045,54.60113221,97.08648086,"(200, 1000)",[[0.92307692 0.92307692 1.         1.         0.91666667]],50,adam,1,yacht_hydro,
,split,real_datasets\boston.csv,0.892156863,17.94383991,0.601247965,27.7027763,5.847033501,"(200, 1000)",999,50,adam,1,boston,
,split_resid_norm,real_datasets\boston.csv,0.87254902,51.71001985,-0.14911144,67.67180269,5.332770586,"(200, 1000)",[[0.47619048 0.95238095 0.95       1.         1.        ]],50,adam,1,boston,
,jackknife_plus_ab,real_datasets\boston.csv,0.911764706,15.44740049,0.656724343,22.90465906,175.2743826,"(200, 1000)",[[1.   1.   0.85 0.9  0.8 ]],50,adam,1,boston,
,jackknife_plus_ab,real_datasets\concrete.csv,0.86407767,19.72137962,0.720936106,24.44668028,8530.354629,"(400, 2000, 2000, 2000)",[[0.80952381 0.87804878 0.90243902 0.7804878  0.95121951]],50,adam,1,concrete,
,split_resid_norm,real_datasets\hour.csv,0.903912543,3.05615474,0.996868679,3.703478654,24.85495353,"(200, 1000)",[[0.81321839 0.84460432 0.92230216 0.96402878 0.97553957]],50,adam,1,hour,
,jackknife_plus_ab,real_datasets\hour.csv,0.913981588,1.66833459,0.998290446,2.086511398,700.077662,"(200, 1000)",[[0.9683908  0.9352518  0.95251799 0.89640288 0.81726619]],50,adam,1,hour,
,split,real_datasets\yacht_hydro.csv,0.951612903,62.00689782,-0.124535356,65.47469596,5.10989666,"(200, 1000, 1000, 1000)",999,50,adam,1,yacht_hydro,
,split_resid_norm,real_datasets\yacht_hydro.csv,0.838709677,1.47E+52,-2.66E+50,1.47E+52,24.05692172,"(200, 1000, 1000, 1000)",[[0.23076923 1.         1.         1.         1.        ]],50,adam,1,yacht_hydro,
