strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
split,linear_multi,0.934,0.009549599,0.989980548,2298.317098,4.000204563,0,500,normal,"(200, 1000)",999,50,adam,1,0.010018308,3,relu
split,linear_multi,0.928,0.011951272,0.987461367,2284.451336,3.047312737,0.2,500,normal,"(200, 1000)",999,50,adam,1,0.012537859,3,relu
split,linear_multi,0.918,0.01245793,0.986930296,2279.545204,3.15905714,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.013069384,3,relu
split,linear_multi,0.96,0.021946601,0.976972708,2244.789992,3.959238052,1,500,normal,"(200, 1000)",999,50,adam,1,0.023023775,3,relu
split_resid_norm,linear_multi,0.892,0.009791223,0.989728145,2297.147648,3.321573496,0,500,normal,"(200, 1000)",[[0.72 0.86 0.95 0.97 0.96]],50,adam,1,0.010271792,3,relu
split_resid_norm,linear_multi,0.97,0.024652773,0.974132456,2226.888025,2.989969492,0.2,500,normal,"(200, 1000)",[[0.86 0.99 1.   1.   1.  ]],50,adam,1,0.02586277,3,relu
split_resid_norm,linear_multi,0.932,0.014252205,0.985047265,2279.762949,2.670665026,0.5,500,normal,"(200, 1000)",[[0.91 0.89 0.96 0.92 0.98]],50,adam,1,0.014951726,3,relu
split_resid_norm,linear_multi,0.926,0.111094379,0.883452336,1875.19179,3.789921522,1,500,normal,"(200, 1000)",[[0.64 0.99 1.   1.   1.  ]],50,adam,1,0.116547067,3,relu
cv_plus,linear_multi,0.948,0.009956069,0.989552992,2297.98643,76.68507767,0,500,normal,"(200, 1000)",[[0.95 0.97 0.95 0.98 0.89]],50,adam,1,0.010444728,3,relu
cv_plus,linear_multi,0.954,0.00962644,0.989898193,2299.577678,71.84095645,0.2,500,normal,"(200, 1000)",[[1.   0.97 0.96 0.95 0.89]],50,adam,1,0.010098921,3,relu
cv_plus,linear_multi,0.966,0.012042737,0.987361885,2288.921932,70.59342718,0.5,500,normal,"(200, 1000)",[[1.   0.98 0.99 0.96 0.9 ]],50,adam,1,0.012633814,3,relu
cv_plus,linear_multi,0.95,0.018462458,0.980628923,2255.860569,94.5986321,1,500,normal,"(200, 1000)",[[1.   0.97 0.97 0.96 0.85]],50,adam,1,0.019368625,3,relu
jackknife_plus_ab,linear_multi,0.904,0.008771153,0.990798329,2303.332277,81.28356504,0,500,normal,"(200, 1000)",[[0.94 0.92 0.94 0.92 0.8 ]],50,adam,1,0.009201655,3,relu
jackknife_plus_ab,linear_multi,0.898,0.008629712,0.990946725,2304.61957,71.50536609,0.2,500,normal,"(200, 1000)",[[0.91 0.91 0.9  0.9  0.87]],50,adam,1,0.009053271,3,relu
jackknife_plus_ab,linear_multi,0.896,0.009583277,0.989946345,2299.898835,69.94348431,0.5,500,normal,"(200, 1000)",[[0.96 0.94 0.91 0.9  0.77]],50,adam,1,0.010053639,3,relu
jackknife_plus_ab,linear_multi,0.9,0.016048051,0.983164187,2267.162875,100.5938208,1,500,normal,"(200, 1000)",[[0.97 0.95 0.91 0.93 0.79]],50,adam,1,0.016835714,3,relu
split_resid_norm,linear_multi,0.962,0.005157792,0.994585232,2318.139625,3.478935003,0,500,normal,"(200, 1000)",[[0.94 0.91 1.   0.99 0.97]],50,adam,1,0.005410945,3,tanh
split_resid_norm,linear_multi,0.91,0.009078064,0.990476271,2302.183819,3.844952583,0.2,500,normal,"(200, 1000)",[[0.73 0.89 0.95 0.98 1.  ]],50,adam,1,0.00952363,3,tanh
split_resid_norm,linear_multi,0.932,0.021750311,0.977181148,2245.472677,2.054409266,0.5,500,normal,"(200, 1000)",[[0.77 0.92 1.   1.   0.97]],50,adam,1,0.022817851,3,tanh
split_resid_norm,linear_multi,0.982,2.330372722,-1.444741385,1227.492708,3.403727531,1,500,normal,"(200, 1000)",[[0.91 1.   1.   1.   1.  ]],50,adam,1,2.4447511,3,tanh
cv_plus,linear_multi,0.994,0.006392959,0.993284488,2317.041007,82.55058837,0,500,normal,"(200, 1000)",[[1.   1.   1.   0.99 0.98]],50,adam,1,0.006706736,3,tanh
cv_plus,linear_multi,0.958,0.004303613,0.99548181,2326.337298,89.17076421,0.2,500,normal,"(200, 1000)",[[1.   1.   0.96 0.96 0.87]],50,adam,1,0.004514841,3,tanh
cv_plus,linear_multi,1,0.020953266,0.978008534,2244.934113,93.51001072,0.5,500,normal,"(200, 1000)",[[1. 1. 1. 1. 1.]],50,adam,1,0.021981686,3,tanh
cv_plus,linear_multi,0.974,0.005287366,0.994447676,2320.549645,95.66848516,1,500,normal,"(200, 1000)",[[1.   1.   1.   0.99 0.88]],50,adam,1,0.005546878,3,tanh
jackknife_plus_ab,linear_multi,0.908,0.003534291,0.996292177,2329.164198,80.98211718,0,500,normal,"(200, 1000)",[[0.94 0.97 0.94 0.95 0.74]],50,adam,1,0.003707759,3,tanh
jackknife_plus_ab,linear_multi,0.914,0.002830442,0.99703044,2332.841501,87.7037499,0.2,500,normal,"(200, 1000)",[[0.92 0.93 0.93 0.87 0.92]],50,adam,1,0.002969365,3,tanh
jackknife_plus_ab,linear_multi,0.992,0.018120953,0.980981339,2251.797175,78.31973672,0.5,500,normal,"(200, 1000)",[[1.   1.   1.   1.   0.96]],50,adam,1,0.019010358,3,tanh
jackknife_plus_ab,linear_multi,0.914,0.004165104,0.995630271,2325.859851,97.43477607,1,500,normal,"(200, 1000)",[[0.92 0.89 0.91 0.89 0.96]],50,adam,1,0.004369534,3,tanh
split_resid_norm,linear_multi,0.942,0.010963529,0.98849662,2281.753455,17.49444413,0,500,normal,"(200, 1000)",[[1.   1.   0.97 0.84 0.9 ]],50,adam,1,0.011501636,3,logistic
split_resid_norm,linear_multi,0.92,1.059243852,-0.11123317,113.3840438,10.41657448,0.2,500,normal,"(200, 1000)",[[0.84 0.85 0.91 1.   1.  ]],50,adam,1,1.111233215,3,logistic
