strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
jackknife_plus_ab,linear,0.896666667,1.559634938,0.844036497,14125.035,73.98068881,0,1000,normal,"(400, 2000, 2000, 2000)",[[0.6        0.98333333 0.98333333 1.         0.91666667]],5,adam,0.1
jackknife_plus_ab,linear,0.88,1.796278122,0.828953532,13601.69442,80.95654464,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.96666667 0.9        0.81666667 0.83333333]],5,adam,0.1
jackknife_plus_ab,linear,0.916666667,2.215697252,0.805959035,12868.82315,89.31956387,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.96666667 0.93333333 0.93333333 0.88333333]],5,adam,0.1
jackknife_plus_ab,linear,0.91,3.747936907,0.704140285,9707.111733,70.2493248,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.95       0.88333333 0.9        0.95       0.86666667]],5,adam,0.1
jackknife_plus_ab,linear,0.976666667,0.240849809,0.975909283,19160.80978,203.672641,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.         1.         1.         0.96666667 0.91666667]],5,adam,0.3
jackknife_plus_ab,linear,0.89,0.655772246,0.936611105,18189.12269,226.6795659,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.88333333 0.91666667 0.86666667 0.86666667 0.91666667]],5,adam,0.3
jackknife_plus_ab,linear,0.903333333,1.725844777,0.840641074,15492.61377,210.6050549,0.5,1000,normal,"(400, 2000, 2000, 2000)",[[0.93333333 0.93333333 0.88333333 0.85       0.91666667]],5,adam,0.3
jackknife_plus_ab,linear,0.916666667,3.365095446,0.757203224,12031.03983,166.8901501,1,1000,normal,"(400, 2000, 2000, 2000)",[[0.91666667 0.86666667 0.86666667 0.98333333 0.95      ]],5,adam,0.3
jackknife_plus_ab,linear,0.94,0.016398395,0.998358563,20013.00033,237.792048,0,1000,normal,"(400, 2000, 2000, 2000)",[[1.  1.  1.  1.  0.7]],5,adam,0.5
jackknife_plus_ab,linear,0.876666667,0.656274536,0.937763768,18139.41898,273.7473292,0.2,1000,normal,"(400, 2000, 2000, 2000)",[[0.86666667 0.9        0.9        0.85       0.86666667]],5,adam,0.5
