,strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
12,jackknife_plus_ab,linear_multi,0.904,0.008771153,0.990798329,2303.332277,81.28356504,0.0,500,normal,"(200, 1000)",[[0.94 0.92 0.94 0.92 0.8 ]],50,adam,1,0.009201655,3,relu
13,jackknife_plus_ab,linear_multi,0.898,0.008629712,0.990946725,2304.61957,71.50536609,0.2,500,normal,"(200, 1000)",[[0.91 0.91 0.9  0.9  0.87]],50,adam,1,0.009053271,3,relu
14,jackknife_plus_ab,linear_multi,0.896,0.009583277,0.989946345,2299.898835,69.94348431,0.5,500,normal,"(200, 1000)",[[0.96 0.94 0.91 0.9  0.77]],50,adam,1,0.010053639,3,relu
15,jackknife_plus_ab,linear_multi,0.9,0.016048051,0.983164187,2267.162875,100.5938208,1.0,500,normal,"(200, 1000)",[[0.97 0.95 0.91 0.93 0.79]],50,adam,1,0.016835714,3,relu
48,jackknife_plus_ab,linear_multi,0.904,0.039325391,0.984541749,5183.55711,145.952625,0.0,500,normal,"(200, 1000)",[[0.85 0.92 0.93 0.93 0.89]],50,adam,1,0.015458236,5,relu
49,jackknife_plus_ab,linear_multi,0.896,0.038980972,0.984677135,5187.191962,138.5017569,0.2,500,normal,"(200, 1000)",[[0.87 0.92 0.91 0.91 0.87]],50,adam,1,0.015322849,5,relu
50,jackknife_plus_ab,linear_multi,0.9,0.037367494,0.985311287,5195.901335,140.2970896,0.5,500,normal,"(200, 1000)",[[0.96 0.91 0.89 0.93 0.86]],50,adam,1,0.014688615,5,relu
51,jackknife_plus_ab,linear_multi,0.91,0.032496043,0.987226182,5219.410416,150.0591643,1.0,500,normal,"(200, 1000)",[[1.   0.97 0.94 0.94 0.7 ]],50,adam,1,0.012773719,5,relu
84,jackknife_plus_ab,linear_multi,0.908,0.056120134,0.981909656,5797.356482,130.9796262,0.0,500,normal,"(200, 1000)",[[0.96 0.94 0.94 0.92 0.78]],50,adam,1,0.018090281,10,relu
85,jackknife_plus_ab,linear_multi,0.908,0.058188045,0.981243067,5790.014041,139.0829473,0.2,500,normal,"(200, 1000)",[[0.97 0.92 0.92 0.92 0.81]],50,adam,1,0.01875687,10,relu
86,jackknife_plus_ab,linear_multi,0.908,0.052964554,0.982926855,5817.128981,164.7806883,0.5,500,normal,"(200, 1000)",[[0.98 0.94 0.97 0.92 0.73]],50,adam,1,0.017073082,10,relu
87,jackknife_plus_ab,linear_multi,0.904,0.052170396,0.983182898,5823.000253,173.0037696,1.0,500,normal,"(200, 1000)",[[0.97 0.94 0.92 0.96 0.73]],50,adam,1,0.016817086,10,relu
120,jackknife_plus_ab,poly_multi,0.908,0.038703018,0.98440069,5405.899557,109.7597771,0.0,500,normal,"(200, 1000)",[[0.91 0.91 0.87 0.96 0.89]],50,adam,1,0.015599247,3,relu
121,jackknife_plus_ab,poly_multi,0.904,0.038289434,0.984567433,5408.438274,108.9162161,0.2,500,normal,"(200, 1000)",[[0.98 0.91 0.92 0.89 0.82]],50,adam,1,0.015432551,3,relu
122,jackknife_plus_ab,poly_multi,0.906,0.036615454,0.98524211,5414.83595,112.9030213,0.5,500,normal,"(200, 1000)",[[0.97 0.96 0.93 0.9  0.77]],50,adam,1,0.014757854,3,relu
123,jackknife_plus_ab,poly_multi,0.908,0.036001966,0.985489349,5416.421919,109.0815406,1.0,500,normal,"(200, 1000)",[[0.92 0.95 0.96 0.93 0.78]],50,adam,1,0.014510588,3,relu
156,jackknife_plus_ab,poly_multi,0.9,0.220548794,0.971180808,15426.734,264.3190162,0.0,500,normal,"(200, 1000)",[[0.92 0.92 0.95 0.92 0.79]],50,adam,1,0.028819192,5,relu
157,jackknife_plus_ab,poly_multi,0.902,0.230434256,0.969889067,15373.5048,257.2800064,0.2,500,normal,"(200, 1000)",[[0.98 0.93 0.92 0.92 0.76]],50,adam,1,0.030110929,5,relu
158,jackknife_plus_ab,poly_multi,0.904,0.229598233,0.969998299,15381.76172,257.2925105,0.5,500,normal,"(200, 1000)",[[0.9  0.93 0.94 0.92 0.83]],50,adam,1,0.030001686,5,relu
159,jackknife_plus_ab,poly_multi,0.916,0.229296299,0.97003752,15379.76228,258.2668037,1.0,500,normal,"(200, 1000)",[[0.97 0.97 0.92 0.88 0.84]],50,adam,1,0.029962232,5,relu
192,jackknife_plus_ab,poly_multi,0.924,2.28608707,0.88747599,26613.97063,316.5795753,0.0,500,normal,"(200, 1000)",[[0.99 0.98 0.92 0.94 0.79]],50,adam,1,0.112523499,10,relu
193,jackknife_plus_ab,poly_multi,0.912,2.14056744,0.894638995,27552.46442,334.754564,0.2,500,normal,"(200, 1000)",[[0.97 0.96 0.97 0.94 0.72]],50,adam,1,0.105360877,10,relu
194,jackknife_plus_ab,poly_multi,0.908,2.252413219,0.889133905,26750.78463,321.4107125,0.5,500,normal,"(200, 1000)",[[0.93 0.98 0.97 0.91 0.75]],50,adam,1,0.110866038,10,relu
195,jackknife_plus_ab,poly_multi,0.914,2.276479387,0.887949227,26718.66907,322.0640061,1.0,500,normal,"(200, 1000)",[[0.99 0.97 0.94 0.96 0.71]],50,adam,1,0.112050599,10,relu
228,jackknife_plus_ab,non_linear_multi,0.902,0.011849036,0.988872966,2578.622219,124.7122664,0.0,500,normal,"(200, 1000)",[[0.93 0.91 0.92 0.91 0.84]],50,adam,1,0.01112703,3,relu
229,jackknife_plus_ab,non_linear_multi,0.91,0.012217928,0.988526457,2577.566158,123.1580303,0.2,500,normal,"(200, 1000)",[[0.93 0.95 0.92 0.94 0.81]],50,adam,1,0.011473444,3,relu
230,jackknife_plus_ab,non_linear_multi,0.904,0.012870638,0.987913602,2574.024086,122.3781235,0.5,500,normal,"(200, 1000)",[[0.95 0.93 0.91 0.84 0.89]],50,adam,1,0.012086382,3,relu
231,jackknife_plus_ab,non_linear_multi,0.91,0.012458277,0.988300753,2575.961108,122.1765707,1.0,500,normal,"(200, 1000)",[[0.93 0.88 0.94 0.96 0.84]],50,adam,1,0.011699148,3,relu
264,jackknife_plus_ab,non_linear_multi,0.902,0.059788269,0.977062476,5345.008896,210.7741103,0.0,500,normal,"(200, 1000)",[[0.97 0.95 0.95 0.91 0.73]],50,adam,1,0.02293752,5,relu
265,jackknife_plus_ab,non_linear_multi,0.912,0.061498314,0.976406287,5332.035145,208.5126638,0.2,500,normal,"(200, 1000)",[[0.96 0.93 0.93 0.91 0.83]],50,adam,1,0.023593572,5,relu
266,jackknife_plus_ab,non_linear_multi,0.908,0.055590748,0.978672778,5358.529539,220.0362284,0.5,500,normal,"(200, 1000)",[[1.   0.95 0.93 0.86 0.8 ]],50,adam,1,0.021327159,5,relu
267,jackknife_plus_ab,non_linear_multi,0.904,0.055583148,0.978675741,5359.741821,219.9114606,1.0,500,normal,"(200, 1000)",[[0.99 0.98 0.93 0.89 0.73]],50,adam,1,0.021324243,5,relu
300,jackknife_plus_ab,non_linear_multi,0.908,0.132789826,0.963395305,6864.129746,281.7268393,0.0,500,normal,"(200, 1000)",[[0.91 0.94 0.93 0.9  0.86]],50,adam,1,0.036604634,10,relu
301,jackknife_plus_ab,non_linear_multi,0.906,0.141168419,0.961085702,6825.877442,273.8274295,0.2,500,normal,"(200, 1000)",[[0.97 0.95 0.94 0.91 0.76]],50,adam,1,0.038914264,10,relu
302,jackknife_plus_ab,non_linear_multi,0.908,0.136448464,0.96238677,6844.265633,271.9244032,0.5,500,normal,"(200, 1000)",[[0.97 0.96 0.93 0.92 0.76]],50,adam,1,0.037613168,10,relu
303,jackknife_plus_ab,non_linear_multi,0.9,0.131173164,0.963841012,6871.13813,276.8969858,1.0,500,normal,"(200, 1000)",[[0.97 0.93 0.91 0.95 0.74]],50,adam,1,0.036158988,10,relu
