strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
jackknife_plus,linear_multi,0.9,0.581931876,0.389505988,152.6649697,332.0988648,0,500,normal,"(200, 1000)",[[0.92 0.88 0.84 0.97 0.89]],500,sgd,1,0.610494012,3,relu
jackknife_plus,linear_multi,0.9,0.623345949,0.346059246,106.7626777,327.6827557,0.2,500,normal,"(200, 1000)",[[0.87 0.98 0.94 0.9  0.81]],500,sgd,1,0.653940754,3,relu
jackknife_plus,linear_multi,0.904,0.678704746,0.287983347,65.01417491,282.5612364,0.5,500,normal,"(200, 1000)",[[0.74 1.   1.   0.96 0.82]],500,sgd,1,0.712016648,3,relu
jackknife_plus,linear_multi,0.916,0.835778229,0.123200422,22.56687918,324.3592722,1,500,normal,"(200, 1000)",[[0.85 0.99 0.94 0.91 0.89]],500,sgd,1,0.876799546,3,relu
jackknife_plus_ab,linear_multi,0.904,0.586609098,0.384599194,144.1257741,29.50931954,0,500,normal,"(200, 1000)",[[0.7  0.95 0.94 0.98 0.95]],500,sgd,1,0.6154008,3,relu
jackknife_plus_ab,linear_multi,0.902,0.626421066,0.342833197,104.5262637,30.9782958,0.2,500,normal,"(200, 1000)",[[0.61 0.95 0.98 0.97 1.  ]],500,sgd,1,0.657166802,3,relu
jackknife_plus_ab,linear_multi,0.902,0.680722112,0.28586697,65.14022505,29.38399529,0.5,500,normal,"(200, 1000)",[[0.97 0.9  0.88 0.89 0.87]],500,sgd,1,0.714133029,3,relu
jackknife_plus_ab,linear_multi,0.9,0.792749023,0.168341601,32.47619431,29.7983973,1,500,normal,"(200, 1000)",[[0.92 0.95 0.88 0.82 0.93]],500,sgd,1,0.831658399,3,relu
jackknife_plus,linear_multi,0.9,1.054429441,0.585519225,750.0361507,370.1544173,0,500,normal,"(200, 1000)",[[0.95 0.94 0.87 0.76 0.98]],500,sgd,1,0.414480775,5,relu
jackknife_plus,linear_multi,0.902,0.981673928,0.61411835,897.4906162,338.9419398,0.2,500,normal,"(200, 1000)",[[0.93 0.86 0.89 0.9  0.93]],500,sgd,1,0.385881648,5,relu
jackknife_plus,linear_multi,0.904,0.901708608,0.645551539,1100.571344,340.3602879,0.5,500,normal,"(200, 1000)",[[0.88 0.92 0.89 0.91 0.92]],500,sgd,1,0.354448451,5,relu
jackknife_plus,linear_multi,0.906,0.761767997,0.700560129,1538.935091,337.6287868,1,500,normal,"(200, 1000)",[[0.81 0.91 0.94 0.91 0.96]],500,sgd,1,0.299439846,5,relu
jackknife_plus_ab,linear_multi,0.9,1.054690986,0.585416416,747.199296,341.554564,0,500,normal,"(200, 1000)",[[0.68 1.   0.93 0.94 0.95]],500,sgd,1,0.414583584,5,relu
jackknife_plus_ab,linear_multi,0.9,0.99200946,0.610055606,879.8699577,337.6215498,0.2,500,normal,"(200, 1000)",[[0.9  0.9  0.92 0.85 0.93]],500,sgd,1,0.389944394,5,relu
jackknife_plus_ab,linear_multi,0.902,0.90241663,0.645273233,1101.48508,343.0796907,0.5,500,normal,"(200, 1000)",[[0.84 0.94 0.92 0.91 0.9 ]],500,sgd,1,0.354726764,5,relu
jackknife_plus_ab,linear_multi,0.9,0.752411996,0.704237861,1568.026503,323.177465,1,500,normal,"(200, 1000)",[[0.94 0.88 0.88 0.84 0.96]],500,sgd,1,0.295762139,5,relu
jackknife_plus,linear_multi,0.91,1.237424688,0.601117067,934.8642713,286.6127973,0,500,normal,"(200, 1000)",[[0.89 0.91 0.91 0.91 0.93]],500,sgd,1,0.398882873,10,relu
jackknife_plus,linear_multi,0.9,1.21563602,0.608140687,986.8385385,286.649272,0.2,500,normal,"(200, 1000)",[[0.89 0.9  0.91 0.9  0.9 ]],500,sgd,1,0.391859313,10,relu
jackknife_plus,linear_multi,0.906,1.190300117,0.616307673,1056.498958,286.536834,0.5,500,normal,"(200, 1000)",[[0.95 0.9  0.89 0.93 0.86]],500,sgd,1,0.383692305,10,relu
jackknife_plus,linear_multi,0.908,1.139517562,0.632677371,1207.805964,286.2541921,1,500,normal,"(200, 1000)",[[0.91 0.89 0.9  0.94 0.9 ]],500,sgd,1,0.367322588,10,relu
jackknife_plus_ab,linear_multi,0.902,1.223196883,0.605703446,949.7885712,288.3795285,0,500,normal,"(200, 1000)",[[0.91 0.89 0.86 0.92 0.93]],500,sgd,1,0.394296551,10,relu
jackknife_plus_ab,linear_multi,0.902,1.209565724,0.610097439,991.8618659,287.5184455,0.2,500,normal,"(200, 1000)",[[0.91 0.88 0.92 0.87 0.93]],500,sgd,1,0.389902558,10,relu
jackknife_plus_ab,linear_multi,0.902,1.184159073,0.618287253,1065.775177,288.180691,0.5,500,normal,"(200, 1000)",[[0.89 0.93 0.92 0.9  0.87]],500,sgd,1,0.381712744,10,relu
jackknife_plus_ab,linear_multi,0.9,1.130089326,0.635716596,1220.9992,287.6107397,1,500,normal,"(200, 1000)",[[0.76 0.95 0.93 0.95 0.91]],500,sgd,1,0.364283404,10,relu
jackknife_plus,linear_multi,0.928,0.012766861,0.986605747,2284.824616,295.3153918,0,500,normal,"(200, 1000)",[[0.92 0.95 0.98 0.94 0.85]],500,lbfgs,1,0.013393479,3,relu
jackknife_plus,linear_multi,0.914,0.013641555,0.985688703,2280.83424,287.0907137,0.2,500,normal,"(200, 1000)",[[0.91 0.86 0.93 0.91 0.96]],500,lbfgs,1,0.014311104,3,relu
jackknife_plus,linear_multi,0.91,0.015458246,0.983782941,2271.968455,282.5234964,0.5,500,normal,"(200, 1000)",[[0.85 0.95 0.95 0.93 0.87]],500,lbfgs,1,0.016216961,3,relu
jackknife_plus,linear_multi,0.96,0.014204031,0.985095266,2277.132928,413.0726116,1,500,normal,"(200, 1000)",[[0.99 0.99 1.   0.94 0.88]],500,lbfgs,1,0.014901187,3,relu
jackknife_plus_ab,linear_multi,0.904,0.012251301,0.98714737,2286.974117,384.7637923,0,500,normal,"(200, 1000)",[[0.92 0.9  0.96 0.88 0.86]],500,lbfgs,1,0.012852614,3,relu
jackknife_plus_ab,linear_multi,0.902,0.012725043,0.986650388,2284.329472,301.9823165,0.2,500,normal,"(200, 1000)",[[0.92 0.91 0.9  0.95 0.83]],500,lbfgs,1,0.013349608,3,relu
jackknife_plus_ab,linear_multi,0.904,0.013620464,0.985711006,2279.798253,290.8092854,0.5,500,normal,"(200, 1000)",[[0.89 0.86 0.92 0.96 0.89]],500,lbfgs,1,0.014288978,3,relu
jackknife_plus_ab,linear_multi,0.9,0.014437788,0.984853582,2275.778347,435.6040902,1,500,normal,"(200, 1000)",[[0.91 0.98 0.95 0.88 0.78]],500,lbfgs,1,0.015146418,3,relu
jackknife_plus,linear_multi,0.93,0.030721878,0.98792279,5225.13385,528.1848345,0,500,normal,"(200, 1000)",[[0.91 0.94 0.96 0.93 0.91]],500,lbfgs,1,0.01207632,5,relu
jackknife_plus,linear_multi,0.91,0.039677091,0.984403418,5178.462458,443.5158253,0.2,500,normal,"(200, 1000)",[[0.98 0.94 0.93 0.89 0.81]],500,lbfgs,1,0.015596484,5,relu
jackknife_plus,linear_multi,0.962,0.024832215,0.990235013,5250.356888,385.1879106,0.5,500,normal,"(200, 1000)",[[0.98 0.97 0.97 0.96 0.93]],500,lbfgs,1,0.00976118,5,relu
jackknife_plus,linear_multi,0.926,0.034137471,0.986580393,5211.284675,352.9912601,1,500,normal,"(200, 1000)",[[1.   1.   0.97 0.93 0.73]],500,lbfgs,1,0.01341894,5,relu
jackknife_plus_ab,linear_multi,0.904,0.027917459,0.98902604,5239.394426,360.0914655,0,500,normal,"(200, 1000)",[[0.95 0.95 0.95 0.89 0.78]],500,lbfgs,1,0.010973944,5,relu
jackknife_plus_ab,linear_multi,0.9,0.035161163,0.986178662,5201.754121,352.3761346,0.2,500,normal,"(200, 1000)",[[0.9  0.87 0.93 0.96 0.84]],500,lbfgs,1,0.013821338,5,relu
jackknife_plus_ab,linear_multi,0.898,0.025274748,0.990064863,5250.178357,335.4115422,0.5,500,normal,"(200, 1000)",[[0.96 0.94 0.9  0.9  0.79]],500,lbfgs,1,0.009935133,5,relu
jackknife_plus_ab,linear_multi,0.904,0.020717945,0.991856063,5274.126751,345.1597989,1,500,normal,"(200, 1000)",[[0.93 0.93 0.94 0.9  0.82]],500,lbfgs,1,0.008143921,5,relu
jackknife_plus,linear_multi,0.91,0.059582934,0.98079339,5774.154659,361.4175577,0,500,normal,"(200, 1000)",[[0.89 0.91 0.94 0.91 0.9 ]],500,lbfgs,1,0.019206512,10,relu
jackknife_plus,linear_multi,0.934,0.051000422,0.983558917,5832.475287,359.5520115,0.2,500,normal,"(200, 1000)",[[0.97 0.96 0.97 0.96 0.81]],500,lbfgs,1,0.016439946,10,relu
jackknife_plus,linear_multi,0.914,0.0555788,0.982084025,5799.577567,441.6348279,0.5,500,normal,"(200, 1000)",[[0.96 0.9  0.94 0.88 0.89]],500,lbfgs,1,0.017915782,10,relu
jackknife_plus,linear_multi,0.924,0.049851184,0.983929943,5838.519649,445.7314582,1,500,normal,"(200, 1000)",[[0.97 0.95 0.93 0.92 0.85]],500,lbfgs,1,0.01606949,10,relu
jackknife_plus_ab,linear_multi,0.902,0.048972135,0.984213867,5831.90904,403.5760438,0,500,normal,"(200, 1000)",[[0.95 0.91 0.9  0.9  0.85]],500,lbfgs,1,0.015786129,10,relu
jackknife_plus_ab,linear_multi,0.902,0.046412521,0.985038957,5845.898171,386.3093901,0.2,500,normal,"(200, 1000)",[[0.91 0.91 0.93 0.92 0.84]],500,lbfgs,1,0.014961039,10,relu
jackknife_plus_ab,linear_multi,0.896,0.04663411,0.984967516,5844.59673,381.6428833,0.5,500,normal,"(200, 1000)",[[0.79 0.94 0.94 0.92 0.89]],500,lbfgs,1,0.015032469,10,relu
jackknife_plus_ab,linear_multi,0.904,0.043878495,0.985855786,5858.216347,394.5981529,1,500,normal,"(200, 1000)",[[0.87 0.87 0.91 0.94 0.93]],500,lbfgs,1,0.014144198,10,relu
jackknife_plus,poly_multi,0.902,1.022287079,0.587967317,980.1577989,286.3570964,0,500,normal,"(200, 1000)",[[0.89 0.95 0.99 0.89 0.79]],500,sgd,1,0.41203268,3,relu
jackknife_plus,poly_multi,0.9,0.98380638,0.603476961,1073.130678,281.1169736,0.2,500,normal,"(200, 1000)",[[0.94 0.91 0.9  0.85 0.9 ]],500,sgd,1,0.396523039,3,relu
jackknife_plus,poly_multi,0.906,0.932863459,0.624009476,1199.652854,278.8472743,0.5,500,normal,"(200, 1000)",[[0.79 0.82 0.95 0.98 0.99]],500,sgd,1,0.375990501,3,relu
jackknife_plus,poly_multi,0.902,0.843960354,0.659841882,1463.98123,278.2453332,1,500,normal,"(200, 1000)",[[0.8  0.91 0.96 0.99 0.85]],500,sgd,1,0.340158116,3,relu
jackknife_plus_ab,poly_multi,0.9,1.021331215,0.588352581,964.85915,28.24473095,0,500,normal,"(200, 1000)",[[0.72 0.85 0.96 0.97 1.  ]],500,sgd,1,0.411647419,3,relu
jackknife_plus_ab,poly_multi,0.902,0.973256594,0.607729048,1078.045749,28.18204832,0.2,500,normal,"(200, 1000)",[[1.   1.   1.   0.81 0.7 ]],500,sgd,1,0.392270949,3,relu
jackknife_plus_ab,poly_multi,0.902,0.932847837,0.624015793,1179.240495,28.13255262,0.5,500,normal,"(200, 1000)",[[0.77 1.   1.   1.   0.74]],500,sgd,1,0.375984205,3,relu
jackknife_plus_ab,poly_multi,0.898,0.836129827,0.662997974,1460.948514,28.20011735,1,500,normal,"(200, 1000)",[[0.76 0.95 1.   1.   0.78]],500,sgd,1,0.337002023,3,relu
jackknife_plus,poly_multi,0.906,2.386045062,0.68821459,4629.262189,279.1027889,0,500,normal,"(200, 1000)",[[0.96 0.91 0.88 0.91 0.87]],500,sgd,1,0.311785386,5,relu
jackknife_plus,poly_multi,0.906,2.439318183,0.681253372,4474.06616,276.8711534,0.2,500,normal,"(200, 1000)",[[0.92 0.86 0.94 0.87 0.94]],500,sgd,1,0.318746604,5,relu
jackknife_plus,poly_multi,0.902,2.507985253,0.672280642,4254.477188,277.06269,0.5,500,normal,"(200, 1000)",[[0.94 0.85 0.92 0.94 0.86]],500,sgd,1,0.327719355,5,relu
jackknife_plus,poly_multi,0.904,2.62887477,0.656483957,3888.642245,276.6627917,1,500,normal,"(200, 1000)",[[0.95 0.91 0.87 0.91 0.88]],500,sgd,1,0.343516033,5,relu
jackknife_plus_ab,poly_multi,0.902,2.382144028,0.688724361,4640.548182,325.6231956,0,500,normal,"(200, 1000)",[[0.81 0.95 0.98 0.89 0.88]],500,sgd,1,0.311275636,5,relu
jackknife_plus_ab,poly_multi,0.898,2.44176503,0.680933663,4450.931254,329.7182391,0.2,500,normal,"(200, 1000)",[[0.98 0.88 0.93 0.9  0.8 ]],500,sgd,1,0.319066334,5,relu
jackknife_plus_ab,poly_multi,0.902,2.541455928,0.667907017,4143.708807,276.6261282,0.5,500,normal,"(200, 1000)",[[0.73 0.99 1.   0.98 0.81]],500,sgd,1,0.332092981,5,relu
jackknife_plus_ab,poly_multi,0.902,2.675110264,0.650442356,3738.172788,276.1571248,1,500,normal,"(200, 1000)",999,500,sgd,1,0.349557642,5,relu
jackknife_plus,poly_multi,0.904,5.740442009,0.717449675,10644.0892,280.8881934,0,500,normal,"(200, 1000)",[[0.9  0.91 0.92 0.89 0.9 ]],500,sgd,1,0.282550314,10,relu
jackknife_plus,poly_multi,0.908,5.67808231,0.720519047,10932.70167,280.854445,0.2,500,normal,"(200, 1000)",[[0.94 0.9  0.92 0.94 0.84]],500,sgd,1,0.279480907,10,relu
jackknife_plus,poly_multi,0.91,5.663385357,0.72124242,10995.20626,277.6763663,0.5,500,normal,"(200, 1000)",[[0.95 0.91 0.93 0.95 0.81]],500,sgd,1,0.278757508,10,relu
jackknife_plus,poly_multi,0.906,5.417983519,0.73332139,12142.08419,280.7511675,1,500,normal,"(200, 1000)",[[0.91 0.88 0.94 0.89 0.91]],500,sgd,1,0.266678583,10,relu
jackknife_plus_ab,poly_multi,0.902,5.75360904,0.716801589,10476.00851,281.8277032,0,500,normal,"(200, 1000)",[[0.92 0.89 0.83 0.96 0.91]],500,sgd,1,0.283198408,10,relu
