strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction
split,sinex_het,0.92,6.450995145584501,0.516226503925644,3828.7590371436936,4.797469854354858,0.0,500,normal,"(200, 1000)",999,50,sgd,1
split,sinex_het,0.8066666666666666,4.4066865700443465,0.6812594999400214,5356.497150127451,3.799300193786621,0.2,500,normal,"(200, 1000)",999,50,sgd,1
split,sinex_het,0.9466666666666668,6.3232616155352455,0.5435149172923455,4359.733074869602,5.016591787338257,0.5,500,normal,"(200, 1000)",999,50,sgd,1
split,sinex_het,0.8633333333333333,5.814885371235554,0.5760988536595063,4422.05756768445,4.675329923629761,1.0,500,normal,"(200, 1000)",999,50,sgd,1
split_resid_norm,sinex_het,0.92,7.329992030082649,0.4503087602819345,2139.046321561937,4.357227563858032,0.0,500,normal,"(200, 1000)",[[0.7        1.         1.         0.96666667 0.93333333]],50,sgd,1
split_resid_norm,sinex_het,0.9166666666666666,6.311354128311978,0.5435011432827169,3571.929538799542,4.877103805541992,0.2,500,normal,"(200, 1000)",[[0.65       0.96666667 1.         1.         0.96666667]],50,sgd,1
split_resid_norm,sinex_het,0.98,12.27314254011176,0.1139862757736349,1780.301522467627,4.45712685585022,0.5,500,normal,"(200, 1000)",[[0.9 1.  1.  1.  1. ]],50,sgd,1
split_resid_norm,sinex_het,0.9233333333333332,7.037233555369226,0.4869911835016257,2785.185407898746,4.943940162658691,1.0,500,normal,"(200, 1000)",[[0.71666667 0.93333333 0.98333333 1.         0.98333333]],50,sgd,1
jackknife_plus_ab,sinex_het,0.8966666666666666,5.322729255729896,0.6008376651101499,5062.220257709032,122.11813068389893,0.0,500,normal,"(200, 1000)",[[0.8        0.93333333 0.95       0.88333333 0.91666667]],50,sgd,1
jackknife_plus_ab,sinex_het,0.9066666666666666,4.961944037033254,0.6411037687530575,5768.130119215568,114.89891028404236,0.2,500,normal,"(200, 1000)",[[0.86666667 0.86666667 0.93333333 0.93333333 0.93333333]],50,sgd,1
jackknife_plus_ab,sinex_het,0.8633333333333333,4.825838343007102,0.6516160208891775,6570.024327336971,119.63644599914552,0.5,500,normal,"(200, 1000)",[[0.88333333 0.88333333 0.93333333 0.85       0.76666667]],50,sgd,1
jackknife_plus_ab,sinex_het,0.9133333333333332,5.848844791893168,0.573623912316854,4216.3773446168325,108.92174553871156,1.0,500,normal,"(200, 1000)",[[0.83333333 1.         0.93333333 0.85       0.95      ]],50,sgd,1
split,sinex_het,0.8833333333333333,5.088703410589325,0.6054995895255086,4681.577136320155,4.499368190765381,0.0,500,normal,"(200, 1000)",999,50,lbfgs,1
split,sinex_het,0.8733333333333333,4.811076736809018,0.6004347375117058,5552.242421491873,3.737919569015503,0.2,500,normal,"(200, 1000)",999,50,lbfgs,1
split,sinex_het,0.9266666666666666,5.464693341439698,0.6067865486297996,5094.113724379488,5.0276758670806885,0.5,500,normal,"(200, 1000)",999,50,lbfgs,1
split,sinex_het,0.9566666666666668,7.783221438158001,0.5993857503400352,3291.812053136856,3.8268535137176514,1.0,500,normal,"(200, 1000)",999,50,lbfgs,1
split_resid_norm,sinex_het,0.9366666666666666,6.245844529085432,0.51579203778636,4434.689368646431,4.914718866348267,0.0,500,normal,"(200, 1000)",[[0.76666667 1.         1.         1.         0.91666667]],50,lbfgs,1
split_resid_norm,sinex_het,0.9233333333333332,5.329666847783425,0.5573654227918514,5174.1473816363,5.7392754554748535,0.2,500,normal,"(200, 1000)",[[0.7        0.96666667 1.         1.         0.95      ]],50,lbfgs,1
split_resid_norm,sinex_het,0.96,7.835136084845476,0.4362197638006467,3192.72744704831,4.468390464782715,0.5,500,normal,"(200, 1000)",[[0.83333333 0.96666667 1.         1.         1.        ]],50,lbfgs,1
split_resid_norm,sinex_het,0.9233333333333332,9.103373190206806,0.5314374928566656,2775.3743183452457,2.456212282180786,1.0,500,normal,"(200, 1000)",[[0.76666667 0.86666667 1.         0.98333333 1.        ]],50,lbfgs,1
jackknife_plus_ab,sinex_het,0.91,5.11100607568249,0.6037706897601443,5273.732487577944,114.11160326004028,0.0,500,normal,"(200, 1000)",[[0.96666667 0.86666667 0.93333333 0.91666667 0.86666667]],50,lbfgs,1
jackknife_plus_ab,sinex_het,0.8966666666666666,4.646981564247628,0.6140634293011565,5893.446867217593,120.39754843711852,0.2,500,normal,"(200, 1000)",[[0.98333333 1.         0.85       0.8        0.85      ]],50,lbfgs,1
jackknife_plus_ab,sinex_het,0.9366666666666666,5.560333858321909,0.5999043425065509,4727.2915207612805,119.78614735603333,0.5,500,normal,"(200, 1000)",[[0.85       0.98333333 0.98333333 0.95       0.91666667]],50,lbfgs,1
jackknife_plus_ab,sinex_het,0.9,5.80318916512296,0.7013024591282778,5298.719000004067,114.07996988296507,1.0,500,normal,"(200, 1000)",[[0.78333333 0.88333333 0.91666667 0.98333333 0.93333333]],50,lbfgs,1
split,sinex_con,0.9333333333333332,0.5446043843322098,0.9179018810157732,12954.3168194654,6.686748266220093,0.0,500,normal,"(200, 1000)",999,50,sgd,1
split,sinex_con,0.9166666666666666,0.9121280722322594,0.8775759276562082,12009.704620436729,6.639819860458374,0.2,500,normal,"(200, 1000)",999,50,sgd,1
split,sinex_con,0.8933333333333333,1.816162944259452,0.7980992599427918,10013.999636932143,6.890921592712402,0.5,500,normal,"(200, 1000)",999,50,sgd,1
split,sinex_con,0.9133333333333332,3.577053682712656,0.6816898190989686,7113.7351926779,6.654008150100708,1.0,500,normal,"(200, 1000)",999,50,sgd,1
split_resid_norm,sinex_con,0.9166666666666666,1.038574908692644,0.8434384348682769,11585.38443654144,6.107645511627197,0.0,500,normal,"(200, 1000)",[[0.58333333 1.         1.         1.         1.        ]],50,sgd,1
split_resid_norm,sinex_con,0.8433333333333334,0.816972619884373,0.890344868461861,12295.812091182595,6.753252029418945,0.2,500,normal,"(200, 1000)",[[0.68333333 0.96666667 0.95       0.85       0.76666667]],50,sgd,1
split_resid_norm,sinex_con,0.9133333333333332,2.145414139141023,0.7614966908350307,9254.601081173703,5.293549299240112,0.5,500,normal,"(200, 1000)",[[0.88333333 0.88333333 0.93333333 0.96666667 0.9       ]],50,sgd,1
split_resid_norm,sinex_con,0.94,8.804585834252327,0.2165089678899679,3753.059806512735,4.760031223297119,1.0,500,normal,"(200, 1000)",[[0.73333333 0.96666667 1.         1.         1.        ]],50,sgd,1
jackknife_plus_ab,sinex_con,0.8933333333333333,0.6361256394845102,0.9041063696030268,12580.124153522376,129.56042861938477,0.0,500,normal,"(200, 1000)",[[0.71666667 0.78333333 0.96666667 1.         1.        ]],50,sgd,1
jackknife_plus_ab,sinex_con,0.91,0.852566176813857,0.8855703497897629,12129.266305801724,124.86750531196594,0.2,500,normal,"(200, 1000)",[[0.93333333 0.98333333 0.95       0.85       0.83333333]],50,sgd,1
jackknife_plus_ab,sinex_con,0.91,1.7351996516921873,0.8070998089879021,10259.749752061964,123.45043802261353,0.5,500,normal,"(200, 1000)",[[0.95       0.85       0.98333333 0.95       0.81666667]],50,sgd,1
jackknife_plus_ab,sinex_con,0.8966666666666666,3.483084679734466,0.6900519203355616,7347.870025822405,113.43755388259888,1.0,500,normal,"(200, 1000)",[[0.86666667 0.91666667 0.9        0.9        0.9       ]],50,sgd,1
split,sinex_con,0.9233333333333332,0.654560344102034,0.9013269554422528,12558.771570879002,6.033816576004028,0.0,500,normal,"(200, 1000)",999,50,lbfgs,1
split,sinex_con,0.9166666666666666,0.9545107906998852,0.8691252996128724,11673.206219445472,5.803738832473755,0.2,500,normal,"(200, 1000)",999,50,lbfgs,1
split,sinex_con,0.91,1.8248434055602505,0.7797612202262244,10399.208430590244,6.020447731018066,0.5,500,normal,"(200, 1000)",999,50,lbfgs,1
