strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features,active_function
split,linear_multi,0.92,0.034440846258725,0.9638683570002072,2202.513763181107,1.411850929260254,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.0361312574523728,3,relu
split_resid_norm,linear_multi,0.784,0.0610192351413805,0.9359732497709944,2078.7436520142373,1.465609073638916,0.5,500,normal,"(200, 1000)",[[0.32 0.63 0.97 1.   1.  ]],50,adam,1,0.0640141556882207,3,relu
jackknife_plus,linear_multi,0.964,0.0254163778041431,0.9733321594071274,2235.402145296732,353.3205714225769,0.5,500,normal,"(200, 1000)",[[1.   0.97 0.97 0.98 0.9 ]],500,adam,1,0.0266638538161827,3,relu
jackknife_plus_ab,linear_multi,0.91,0.0178796266864882,0.9812427148394682,2268.374707702574,35.53795003890991,0.5,500,normal,"(200, 1000)",[[0.87 0.88 0.91 0.93 0.96]],50,adam,1,0.0187571870362553,3,relu
cqr,linear_multi,0.902,0.1193539180712551,0.8747879994033767,1561.7858445820482,0.1904637813568115,0.5,500,normal,"(200, 1000)",[[0.74 0.93 0.95 0.95 0.94]],50,adam,1,0.1252119970974713,3,relu
split,linear_multi,0.8,0.2963547330874361,0.8834984585702169,3579.456754242758,1.3084490299224854,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.1164927064010222,5,relu
split_resid_norm,linear_multi,0.956,0.9934033544141904,0.609505775209802,1932.740167740662,1.335707187652588,0.5,500,normal,"(200, 1000)",[[0.83 0.95 1.   1.   1.  ]],50,adam,1,0.3904923133770898,5,relu
jackknife_plus,linear_multi,0.912,0.3971683378786617,0.8438788201326606,3126.701194758652,342.6826288700104,0.5,500,normal,"(200, 1000)",[[0.86 0.91 0.95 0.92 0.92]],500,adam,1,0.1561210583487807,5,relu
jackknife_plus_ab,linear_multi,0.898,0.3971475336263233,0.8438871161226527,3097.8713075268724,34.904972076416016,0.5,500,normal,"(200, 1000)",[[0.88 0.9  0.93 0.86 0.92]],50,adam,1,0.1561128805017988,5,relu
cqr,linear_multi,0.902,0.3926137349956185,0.8456692859741449,2927.864134653716,0.058528184890747,0.5,500,normal,"(200, 1000)",[[0.78 0.92 0.89 0.97 0.95]],50,adam,1,0.154330710643178,5,relu
split,linear_multi,0.916,0.6578977855817313,0.78792696553477,2663.389094532215,1.3177804946899414,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.2120728327559009,10,relu
split_resid_norm,linear_multi,0.862,6.49441336927579,-1.0934674529913972,1809.9138134850816,1.3001728057861328,0.5,500,normal,"(200, 1000)",[[0.42 0.89 1.   1.   1.  ]],50,adam,1,2.09346903195954,10,relu
jackknife_plus,linear_multi,0.912,0.603938599961281,0.8053207522425773,2881.4396703107927,351.8573455810547,0.5,500,normal,"(200, 1000)",[[0.94 0.89 0.9  0.9  0.93]],500,adam,1,0.1946791317912261,10,relu
jackknife_plus_ab,linear_multi,0.898,0.5724005905310382,0.815487117434573,2991.8155150210723,35.77923774719238,0.5,500,normal,"(200, 1000)",[[0.95 0.86 0.89 0.93 0.86]],50,adam,1,0.1845128793034785,10,relu
cqr,linear_multi,0.902,0.6429753057566198,0.792737413685794,2355.89908319186,0.059488296508789,0.5,500,normal,"(200, 1000)",[[0.93 0.89 0.88 0.9  0.91]],50,adam,1,0.2072625831432564,10,relu
split,poly_multi,0.926,0.3874653872544256,0.8438315533906279,3465.7271125810025,1.3326644897460938,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.1561678761790492,3,relu
split_resid_norm,poly_multi,0.966,3.416143860832229,-0.3768747168833264,1398.106029967601,1.327237606048584,0.5,500,normal,"(200, 1000)",[[0.83 1.   1.   1.   1.  ]],50,adam,1,1.3768763585531687,3,relu
jackknife_plus,poly_multi,0.926,0.3529580987673014,0.8577397023249168,3520.679320349597,339.23817467689514,0.5,500,normal,"(200, 1000)",[[0.97 0.97 0.92 0.85 0.92]],500,adam,1,0.1422597178428483,3,relu
jackknife_plus_ab,poly_multi,0.9,0.3172503113985855,0.8721323014183812,3728.4420327912985,34.326322078704834,0.5,500,normal,"(200, 1000)",[[0.98 0.91 0.9  0.86 0.85]],50,adam,1,0.1278676985816188,3,relu
cqr,poly_multi,0.902,0.3224498779333536,0.8700366132925937,3477.722958125182,0.0600166320800781,0.5,500,normal,"(200, 1000)",[[0.76 0.9  0.91 0.97 0.97]],50,adam,1,0.1299633832272597,3,relu
split,poly_multi,0.876,1.8316493254670547,0.7606572709895322,6584.062923848383,1.2487523555755615,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.2393422908717534,5,relu
split_resid_norm,poly_multi,0.832,5.182348993186934,0.3228190587478585,5011.80387648991,1.2392117977142334,0.5,500,normal,"(200, 1000)",[[0.4  0.77 0.99 1.   1.  ]],50,adam,1,0.6771794485333626,5,relu
jackknife_plus,poly_multi,0.908,1.7872362398783388,0.7664611342996777,6820.740183684648,341.15302872657776,0.5,500,normal,"(200, 1000)",[[0.88 0.93 0.9  0.88 0.95]],500,adam,1,0.2335388166468081,5,relu
jackknife_plus_ab,poly_multi,0.902,1.8114371261213589,0.7632988415957501,6705.060395366209,34.35890007019043,0.5,500,normal,"(200, 1000)",[[0.96 0.9  0.89 0.91 0.85]],50,adam,1,0.2367011553510544,5,relu
cqr,poly_multi,0.902,1.2169861694630526,0.8409759663762351,8866.689923803078,0.0644803047180175,0.5,500,normal,"(200, 1000)",[[0.83 0.9  0.91 0.93 0.94]],50,adam,1,0.159024030259861,5,relu
split,poly_multi,0.876,5.057011133599872,0.7510884068901243,12699.562005610847,1.2843084335327148,0.5,500,normal,"(200, 1000)",999,50,adam,1,0.2489111604828286,10,relu
