strategy,data_name,coverage,mean_width,cwc,mwi,total_time,noise_std,num_samples,noise_type,layer_size,ssc,cv_size,optimiser,bagging_fraction,normalised_mean_width,num_features
naive,linear_multi,0.91,0.4374756494925941,0.6325326224073748,185.37661685980973,0.2678394317626953,0.0,100,normal,"(200, 1000)",999,5,adam,1,0.3674673143393597,
naive,linear_multi,0.91,0.7758108999008431,0.5103469565825777,139.19366438154955,0.344719648361206,0.2,100,normal,"(200, 1000)",999,5,adam,1,0.4896529923827242,
naive,linear_multi,0.91,2.206442244358066,0.2995335067836637,58.16786563245672,0.1314394474029541,0.5,100,normal,"(200, 1000)",999,5,adam,1,0.7004664632629841,
naive,linear_multi,0.91,3.9420377657086063,0.325035371314751,112.389512951793,0.1249918937683105,1.0,100,normal,"(200, 1000)",999,5,adam,1,0.6749645961817102,
naive,linear_multi,0.91,0.4374756494925941,0.6325326224073748,185.37661685980973,0.2331194877624511,0.0,100,normal,"(200, 1000)",999,5,adam,1,0.3674673143393597,6.0
naive,linear_multi,0.91,0.7758108999008431,0.5103469565825777,139.19366438154955,0.3268635272979736,0.2,100,normal,"(200, 1000)",999,5,adam,1,0.4896529923827242,6.0
naive,linear_multi,0.91,2.206442244358066,0.2995335067836637,58.16786563245672,0.1373915672302246,0.5,100,normal,"(200, 1000)",999,5,adam,1,0.7004664632629841,6.0
naive,linear_multi,0.91,3.9420377657086063,0.325035371314751,112.389512951793,0.1135838031768798,1.0,100,normal,"(200, 1000)",999,5,adam,1,0.6749645961817102,6.0
naive,linear_multi,0.91,0.0364189320206187,0.9748685567362658,727.4947087329491,0.8486542701721191,0.0,100,normal,"(200, 1000)",999,5,adam,1,0.0251313457768736,3.0
naive,linear_multi,0.91,0.8806447951150784,0.5267061377841288,141.68809814182308,0.298095703125,0.2,100,normal,"(200, 1000)",999,5,adam,1,0.4732938095452548,3.0
naive,linear_multi,0.91,1.8606501548860344,0.3416917972056026,71.93211662652772,0.1279680728912353,0.5,100,normal,"(200, 1000)",999,5,adam,1,0.6583081686252159,3.0
naive,linear_multi,0.91,3.497582438108381,0.2446346947016795,113.24806087658128,0.1309437751770019,1.0,100,normal,"(200, 1000)",999,5,adam,1,0.7553652808348498,3.0
naive,linear_multi,0.91,0.4374756494925941,0.6325326224073748,185.37661685980973,0.209808349609375,0.0,100,normal,"(200, 1000)",999,5,adam,1,0.3674673143393597,6.0
naive,linear_multi,0.91,0.7758108999008431,0.5103469565825777,139.19366438154955,0.3129751682281494,0.2,100,normal,"(200, 1000)",999,5,adam,1,0.4896529923827242,6.0
naive,linear_multi,0.91,2.206442244358066,0.2995335067836637,58.16786563245672,0.1244962215423584,0.5,100,normal,"(200, 1000)",999,5,adam,1,0.7004664632629841,6.0
naive,linear_multi,0.91,3.9420377657086063,0.325035371314751,112.389512951793,0.1111040115356445,1.0,100,normal,"(200, 1000)",999,5,adam,1,0.6749645961817102,6.0
naive,linear_multi,0.91,1.4359552426822353,0.646663338916252,607.2157676344838,0.1934401988983154,0.0,100,normal,"(200, 1000)",999,5,adam,1,0.3533365964174109,10.0
naive,linear_multi,0.91,1.6066912524107306,0.6320447863229789,565.8655674618441,0.2122814655303955,0.2,100,normal,"(200, 1000)",999,5,adam,1,0.3679551504725393,10.0
naive,linear_multi,0.91,2.357793112850045,0.5108690443731749,397.6875408305253,0.2162561416625976,0.5,100,normal,"(200, 1000)",999,5,adam,1,0.4891309045399181,10.0
naive,linear_multi,0.91,3.5919488548818754,0.4180736614227016,326.6378372991509,0.2028634548187255,1.0,100,normal,"(200, 1000)",999,5,adam,1,0.5819262967699301,10.0
split,linear_multi,0.9133333333333332,0.0077179251159147,0.986014687929661,818.7779872963825,2.177930355072021,0.0,300,normal,"(200, 1000)",999,5,adam,1,0.0139851367788233,3.0
split,linear_multi,0.9666666666666668,0.8418428063700611,0.3768384372548273,63.75602786866259,0.6740627288818359,0.2,300,normal,"(200, 1000)",999,5,adam,1,0.6231598879039519,3.0
split,linear_multi,0.8233333333333334,1.3317096265008903,0.5619604996936337,292.8174736561041,0.6571981906890869,0.5,300,normal,"(200, 1000)",999,5,adam,1,0.4380361972177217,3.0
split,linear_multi,0.9433333333333334,3.611788095432808,0.3927911582779691,172.85643018858485,0.7623505592346191,1.0,300,normal,"(200, 1000)",999,5,adam,1,0.60720810414683,3.0
split,linear_multi,0.9833333333333332,0.1713978286036237,0.9611941355332612,5542.638325781481,3.459063768386841,0.0,300,normal,"(200, 1000)",999,5,adam,1,0.0387991894842871,10.0
split,linear_multi,0.9633333333333334,0.7586495044007044,0.8406930917642205,4168.068112713999,3.57367205619812,0.2,300,normal,"(200, 1000)",999,5,adam,1,0.1593035361156151,10.0
split,linear_multi,0.9066666666666666,1.4863563869649496,0.7187361425634192,3009.773148323694,3.370312690734864,0.5,300,normal,"(200, 1000)",999,5,adam,1,0.2812638254927515,10.0
split,linear_multi,0.8933333333333333,3.15530190706664,0.5673598635721936,1554.0480876238155,2.4016263484954834,1.0,300,normal,"(200, 1000)",999,5,adam,1,0.4326401112118119,10.0
split,linear_multi,0.9533333333333334,0.0432974150761933,0.970619474018997,1884.500764553576,4.034950494766235,0.0,300,normal,"(200, 1000)",999,5,adam,1,0.029377765103906,10.0
split,linear_multi,0.9833333333333332,0.0652463761614599,0.9557229900719444,1819.5388791003936,3.516631841659546,0.2,300,normal,"(200, 1000)",999,5,adam,1,0.0442703729398014,10.0
split,linear_multi,0.98,0.0618820409943346,0.9580062336522774,1832.8024178248395,5.204021215438843,0.5,300,normal,"(200, 1000)",999,5,adam,1,0.0419876350882072,10.0
split,linear_multi,0.97,0.0907869232789215,0.938395491050126,1745.900190304376,3.412968397140503,1.0,300,normal,"(200, 1000)",999,5,adam,1,0.0615999108007023,10.0
cqr,linear_multi,0.9033333333333332,0.7527513663617096,0.7444565934490125,1497.448808755856,0.2003827095031738,0.0,300,normal,"(200, 1000)",[[0.83333333 0.91666667 0.95       0.93333333 0.88333333]],5,adam,1,0.2555433982792474,10.0
cqr,linear_multi,0.9033333333333332,0.7527513115391348,0.7444566120601337,1497.4489046122342,0.044640302658081,0.2,300,normal,"(200, 1000)",[[0.83333333 0.91666667 0.95       0.93333333 0.88333333]],5,adam,1,0.255543379668126,10.0
cqr,linear_multi,0.9033333333333332,0.752751246983836,0.7444566339753118,1497.449011508793,0.0446395874023437,0.5,300,normal,"(200, 1000)",[[0.83333333 0.91666667 0.95       0.93333333 0.88333333]],5,adam,1,0.2555433577529477,10.0
cqr,linear_multi,0.9033333333333332,0.752751254653104,0.7444566313717552,1497.4490124063802,0.044640302658081,1.0,300,normal,"(200, 1000)",[[0.83333333 0.91666667 0.95       0.93333333 0.88333333]],5,adam,1,0.2555433603565043,10.0
cqr,poly_multi,0.9033333333333332,5.271281473032237,0.7277580927595144,6680.214908065356,0.0416638851165771,0.0,300,normal,"(200, 1000)",[[0.86666667 0.86666667 0.93333333 0.96666667 0.88333333]],5,adam,1,0.2722418991542844,10.0
cqr,poly_multi,0.9033333333333332,5.271281878309128,0.7277580718284846,6680.2144385004285,0.0411674976348876,0.2,300,normal,"(200, 1000)",[[0.86666667 0.86666667 0.93333333 0.96666667 0.88333333]],5,adam,1,0.2722419200853144,10.0
cqr,poly_multi,0.9033333333333332,5.271280919045103,0.7277581213708697,6680.215719888174,0.0560481548309326,0.5,300,normal,"(200, 1000)",[[0.86666667 0.86666667 0.93333333 0.96666667 0.88333333]],5,adam,1,0.2722418705429288,10.0
cqr,poly_multi,0.9033333333333332,5.271281849589102,0.727758073311766,6680.2144510476655,0.0436480045318603,1.0,300,normal,"(200, 1000)",[[0.86666667 0.86666667 0.93333333 0.96666667 0.88333333]],5,adam,1,0.272241918602033,10.0
cqr,non_linear_multi,0.9033333333333332,0.8422519617198971,0.727695453823211,1419.1425400027338,0.0416641235351562,0.0,300,normal,"(200, 1000)",[[0.88333333 0.9        0.93333333 0.91666667 0.88333333]],5,adam,1,0.2723045380912838,10.0
cqr,non_linear_multi,0.9033333333333332,0.8422519617198971,0.727695453823211,1419.1425400027338,0.0406720638275146,0.2,300,normal,"(200, 1000)",[[0.88333333 0.9        0.93333333 0.91666667 0.88333333]],5,adam,1,0.2723045380912838,10.0
cqr,non_linear_multi,0.9033333333333332,0.8422519617198971,0.727695453823211,1419.1425400027338,0.0406720638275146,0.5,300,normal,"(200, 1000)",[[0.88333333 0.9        0.93333333 0.91666667 0.88333333]],5,adam,1,0.2723045380912838,10.0
cqr,non_linear_multi,0.9033333333333332,0.8422519617198971,0.727695453823211,1419.1425400027338,0.0426559448242187,1.0,300,normal,"(200, 1000)",[[0.88333333 0.9        0.93333333 0.91666667 0.88333333]],5,adam,1,0.2723045380912838,10.0
cqr,linear_multi,0.9033333333333332,0.0474578154470659,0.8712702256256752,381.2616899948369,0.0391538143157959,0.0,300,normal,"(200, 1000)",[[0.81666667 0.88333333 0.93333333 0.91666667 0.96666667]],5,adam,1,0.1287297646935443,3.0
cqr,linear_multi,0.9033333333333332,0.0474577994717074,0.871270268958983,381.2617295456832,0.0416641235351562,0.2,300,normal,"(200, 1000)",[[0.81666667 0.88333333 0.93333333 0.91666667 0.96666667]],5,adam,1,0.1287297213602361,3.0
cqr,linear_multi,0.9033333333333332,0.0474578127693621,0.8712702328889717,381.26169840737055,0.037696361541748,0.5,300,normal,"(200, 1000)",[[0.81666667 0.88333333 0.93333333 0.91666667 0.96666667]],5,adam,1,0.1287297574302478,3.0
cqr,linear_multi,0.9033333333333332,0.0474578280080316,0.8712701915539397,381.261675403153,0.0376961231231689,1.0,300,normal,"(200, 1000)",[[0.81666667 0.88333333 0.93333333 0.91666667 0.96666667]],5,adam,1,0.1287297987652803,3.0
cqr,linear_multi,0.9033333333333332,8.140186874378063,0.6148141108774192,3271.7412047800376,0.4399511814117431,0.0,300,normal,"(200, 1000)",[[0.98333333 1.         0.96666667 0.91666667 0.65      ]],5,adam,1,0.3851858822913127,510.0
cqr,linear_multi,0.9033333333333332,8.140182161325459,0.6148143338945731,3271.745412963032,0.4667332172393799,0.2,300,normal,"(200, 1000)",[[0.98333333 1.         0.96666667 0.91666667 0.65      ]],5,adam,1,0.3851856592741565,510.0
cqr,linear_multi,0.9033333333333332,8.027155285443754,0.6201626578455159,3380.0688091926595,0.5455994606018066,0.5,300,normal,"(200, 1000)",[[0.98333333 0.98333333 1.         0.9        0.65      ]],5,adam,1,0.3798373352637877,510.0
cqr,linear_multi,0.9033333333333332,8.855671426199251,0.5809580643824249,2689.1752284498325,0.3462080955505371,1.0,300,normal,"(200, 1000)",[[1.         0.96666667 0.96666667 0.86666667 0.71666667]],5,adam,1,0.4190419291624854,510.0
cqr,poly_multi,0.9033333333333332,0.3969867058826632,0.8637583823922956,2596.811803307708,0.041663646697998,0.0,300,normal,"(200, 1000)",[[0.75       0.86666667 0.93333333 0.98333333 0.98333333]],5,adam,1,0.1362416080103888,3.0
cqr,poly_multi,0.9033333333333332,0.396986745186656,0.8637583689035842,2596.811691134301,0.038191795349121,0.2,300,normal,"(200, 1000)",[[0.75       0.86666667 0.93333333 0.98333333 0.98333333]],5,adam,1,0.1362416214991004,3.0
